timestamp,rmssd,coverage,low_frequency,high_frequency
2025-08-30T03:30:00,39.038,0.973,2077.046,240.973
2025-08-30T03:35:00,39.252,0.95,897.643,357.14
2025-08-30T03:40:00,39.018,0.955,1557.066,348.767
2025-08-30T03:45:00,34.418,0.944,725.863,315.368
2025-08-30T03:50:00,38.735,0.947,769.313,269.085
2025-08-30T03:55:00,40.876,0.951,1260.682,428.796
2025-08-30T04:00:00,40.242,0.895,2270.355,386.597
2025-08-30T04:05:00,39.35,0.966,1268.48,423.066
2025-08-30T04:10:00,42.143,0.833,2926.677,371.09
2025-08-30T04:15:00,42.804,0.999,1977.597,417.207
2025-08-30T04:20:00,35.681,0.899,1477.592,194.571
2025-08-30T04:25:00,22.884,0.902,400.298,55.842
2025-08-30T04:30:00,26.27,0.899,1048.547,144.485
2025-08-30T04:35:00,29.915,0.959,1506.333,166.578
2025-08-30T04:40:00,30.097,0.919,559.763,100.049
2025-08-30T04:45:00,36.664,0.968,765.346,313.313
2025-08-30T04:50:00,28.106,0.937,634.732,169.855
2025-08-30T04:55:00,25.046,0.927,1327.795,72.291
2025-08-30T05:00:00,29.283,1.005,705.261,193.758
2025-08-30T05:05:00,40.04,0.96,759.691,403.728
2025-08-30T05:10:00,43.998,0.963,380.448,448.551
2025-08-30T05:15:00,41.301,0.935,305.436,335.186
2025-08-30T05:20:00,41.056,1.004,302.164,348.503
2025-08-30T05:25:00,43.834,0.916,843.289,368.723
2025-08-30T05:30:00,35.662,0.974,413.702,227.519
2025-08-30T05:35:00,38.113,0.967,334.585,242.773
2025-08-30T05:40:00,49.638,0.914,1243.906,574.081
2025-08-30T05:45:00,44.331,1.003,339.294,397.519
2025-08-30T05:50:00,44.517,0.865,449.79,310.366
2025-08-30T05:55:00,42.748,1.005,1846.775,856.868
2025-08-30T06:00:00,43.181,0.994,1242.657,463.758
2025-08-30T06:05:00,47.023,0.897,1804.85,446.138
2025-08-30T06:10:00,37.377,0.989,515.134,273.538
2025-08-30T06:15:00,36.679,0.891,919.413,158.386
2025-08-30T06:20:00,26.821,0.984,954.746,108.821
2025-08-30T06:25:00,25.121,1.002,1055.727,118.078
2025-08-30T06:30:00,33.386,0.92,834.182,145.548
2025-08-30T06:35:00,46.55,0.846,1505.664,457.694
2025-08-30T06:40:00,48.668,0.773,885.489,350.199
2025-08-30T06:45:00,42.551,0.931,2423.578,296.352
2025-08-30T06:50:00,35.535,1.005,608.508,221.268
2025-08-30T06:55:00,41.003,0.997,787.833,375.58
2025-08-30T07:00:00,48.709,0.891,489.08,490.255
2025-08-30T07:05:00,44.031,0.992,380.892,517.471
2025-08-30T07:10:00,49.167,1.005,450.776,597.491
2025-08-30T07:15:00,53.919,0.955,1152.334,965.918
2025-08-30T07:20:00,49.355,1.003,488.067,592.62
2025-08-30T07:25:00,53.139,0.979,924.04,694.433
2025-08-30T07:30:00,50.437,0.966,714.889,561.019
2025-08-30T07:35:00,45.77,0.988,510.977,479.881
2025-08-30T07:40:00,41.79,0.998,254.626,452.855
2025-08-30T07:45:00,48.674,0.783,2684.621,611.96
2025-08-30T08:00:00,42.31,0.859,7467.566,710.235
2025-08-30T08:05:00,40.452,0.824,1492.282,268.826
2025-08-30T08:10:00,45.133,1.004,1131.747,515.674
2025-08-30T08:15:00,45.982,0.861,1596.165,267.821
2025-08-30T08:20:00,52.648,0.789,1729.164,570.76
2025-08-30T08:25:00,52.375,0.769,826.339,465.421
2025-08-30T08:40:00,32.605,0.769,1180.901,185.65
2025-08-30T08:45:00,35.76,0.883,2231.92,380.484
2025-08-30T08:55:00,32.174,0.819,674.863,197.765
2025-08-30T23:40:00,46.76,0.921,984.919,424.781
2025-08-30T23:45:00,45.474,0.976,665.142,475.437
2025-08-30T23:50:00,50.027,0.971,1383.944,607.282
2025-08-30T23:55:00,43.461,0.986,1817.584,467.958
