timestamp,rmssd,coverage,low_frequency,high_frequency
2025-08-25T00:00:00,18.497,0.965,391.753,52.291
2025-08-25T00:05:00,22.18,0.951,980.532,147.833
2025-08-25T00:10:00,21.084,0.962,353.478,122.444
2025-08-25T00:15:00,51.876,0.895,812.435,627.202
2025-08-25T00:20:00,15.99,1.0,352.651,132.58
2025-08-25T00:25:00,46.468,0.988,245.415,520.646
2025-08-25T00:30:00,61.87,0.945,271.777,894.537
2025-08-25T00:35:00,88.112,0.984,1188.258,1233.243
2025-08-25T00:40:00,88.16,0.924,3129.296,1129.963
2025-08-25T00:45:00,37.551,0.985,1276.585,279.54
2025-08-25T00:50:00,21.413,0.961,1250.283,167.812
2025-08-25T00:55:00,21.724,0.998,53.514,77.553
2025-08-25T01:00:00,18.378,1.005,32.281,46.996
2025-08-25T01:05:00,19.549,0.987,76.155,62.484
2025-08-25T01:10:00,19.753,1.0,38.096,64.48
2025-08-25T01:15:00,19.841,1.004,21.225,65.695
2025-08-25T01:20:00,18.35,0.992,63.963,47.714
2025-08-25T01:25:00,14.886,0.989,58.523,35.376
2025-08-25T01:30:00,13.641,1.005,87.584,26.544
2025-08-25T01:35:00,10.764,0.998,134.898,19.562
2025-08-25T01:40:00,10.704,0.999,64.226,17.287
2025-08-25T01:45:00,11.148,0.943,289.969,11.842
2025-08-25T01:50:00,13.498,0.973,68.789,26.828
2025-08-25T01:55:00,11.733,0.994,18.766,22.105
2025-08-25T02:00:00,10.02,0.988,63.305,16.431
2025-08-25T02:05:00,11.333,1.004,84.296,20.817
2025-08-25T02:10:00,11.59,1.001,60.097,20.1
2025-08-25T02:15:00,12.264,0.997,46.831,24.797
2025-08-25T02:20:00,10.366,1.003,79.671,18.408
2025-08-25T02:25:00,12.176,1.001,500.609,36.892
2025-08-25T02:30:00,15.13,0.973,96.214,30.872
2025-08-25T02:35:00,15.122,0.973,262.032,23.892
2025-08-25T02:40:00,14.748,1.002,67.265,42.683
2025-08-25T02:45:00,14.104,1.004,32.382,32.075
2025-08-25T02:50:00,13.493,0.994,37.85,22.899
2025-08-25T02:55:00,11.999,0.971,44.674,18.322
2025-08-25T03:00:00,13.018,0.995,51.131,24.241
2025-08-25T03:05:00,14.744,0.991,150.791,38.765
2025-08-25T03:10:00,14.252,0.974,139.561,33.163
2025-08-25T03:15:00,15.579,0.99,147.356,26.079
2025-08-25T03:20:00,15.878,0.936,933.51,418.224
2025-08-25T03:25:00,14.518,0.826,275.007,21.841
2025-08-25T03:30:00,19.257,0.891,111.488,59.123
2025-08-25T03:35:00,14.689,0.939,105.329,27.568
2025-08-25T03:40:00,18.195,0.931,54.133,52.326
2025-08-25T03:45:00,14.69,0.88,155.342,48.263
2025-08-25T03:55:00,23.157,0.937,152.916,90.873
2025-08-25T04:00:00,14.045,0.966,34.563,35.995
2025-08-25T04:05:00,23.775,0.89,1217.892,771.347
2025-08-25T04:10:00,13.204,0.977,21.149,22.719
2025-08-25T04:15:00,14.68,0.967,30.131,38.214
2025-08-25T04:20:00,13.477,1.003,41.154,35.176
2025-08-25T04:25:00,14.635,0.998,3694.188,66.89
2025-08-25T04:30:00,15.171,0.959,1437.899,138.6
2025-08-25T04:35:00,14.107,1.004,42.323,35.874
2025-08-25T04:40:00,14.826,0.985,147.73,36.527
2025-08-25T04:45:00,191.788,0.971,3407.558,8077.779
2025-08-25T04:50:00,15.407,0.981,345.06,53.923
2025-08-25T04:55:00,13.993,0.999,15.516,30.408
2025-08-25T05:00:00,53.148,0.969,2182.622,1311.47
2025-08-25T05:05:00,33.066,0.973,3013.34,439.94
2025-08-25T05:10:00,15.936,0.986,56.556,52.931
2025-08-25T05:15:00,15.256,0.986,60.132,43.295
