timestamp,rmssd,coverage,low_frequency,high_frequency
2025-08-11T00:00:00,20.684,0.991,467.016,100.264
2025-08-11T00:05:00,24.847,1.002,227.659,135.262
2025-08-11T00:10:00,23.349,1.004,517.065,114.34
2025-08-11T00:15:00,27.054,1.002,212.181,146.815
2025-08-11T00:20:00,23.816,0.993,165.527,114.703
2025-08-11T00:25:00,25.711,1.005,285.397,140.743
2025-08-11T00:30:00,33.317,0.988,212.439,231.653
2025-08-11T00:35:00,40.124,0.998,96.632,323.33
2025-08-11T00:40:00,44.809,0.969,112.872,443.312
2025-08-11T00:45:00,43.647,1.003,80.312,404.999
2025-08-11T00:50:00,36.889,0.999,144.045,351.914
2025-08-11T00:55:00,35.403,1.003,111.286,232.988
2025-08-11T01:00:00,11.842,0.92,271.119,15.791
2025-08-11T01:05:00,14.664,1.0,79.136,54.184
2025-08-11T01:10:00,16.875,1.003,100.282,67.128
2025-08-11T01:15:00,17.126,0.999,28.787,73.279
2025-08-11T01:20:00,16.226,1.002,47.716,52.915
2025-08-11T01:25:00,15.943,1.004,62.103,64.819
2025-08-11T01:30:00,15.97,1.004,52.636,50.638
2025-08-11T01:35:00,20.286,0.919,90.646,98.992
2025-08-11T01:40:00,18.836,0.968,75.139,71.366
2025-08-11T01:45:00,19.001,1.001,31.051,79.802
2025-08-11T01:50:00,18.85,0.986,44.461,87.815
2025-08-11T01:55:00,18.102,1.003,60.366,74.367
2025-08-11T02:00:00,19.352,1.001,63.005,78.833
2025-08-11T02:05:00,20.018,0.998,91.343,98.807
2025-08-11T02:10:00,26.417,1.003,59.184,208.522
2025-08-11T02:15:00,25.016,0.98,84.437,136.311
2025-08-11T02:20:00,29.186,1.003,111.091,240.227
2025-08-11T02:25:00,35.296,1.004,61.561,249.604
2025-08-11T02:30:00,29.152,1.0,73.956,144.494
2025-08-11T02:35:00,37.221,1.004,36.471,289.941
2025-08-11T02:40:00,35.519,1.003,64.594,280.578
2025-08-11T02:45:00,44.103,0.991,46.767,365.367
2025-08-11T02:50:00,17.704,0.953,82.451,58.717
2025-08-11T02:55:00,16.258,0.992,145.596,39.809
2025-08-11T03:00:00,14.502,1.005,41.115,42.529
2025-08-11T03:05:00,16.993,0.998,343.614,64.362
2025-08-11T03:10:00,13.428,0.768,166.909,18.536
2025-08-11T03:15:00,18.563,1.0,364.858,68.396
2025-08-11T03:20:00,25.0,1.001,204.836,156.441
2025-08-11T03:25:00,25.454,1.002,207.252,107.707
2025-08-11T03:30:00,23.856,1.006,151.221,146.708
2025-08-11T03:35:00,19.747,0.969,235.109,107.266
2025-08-11T03:40:00,21.578,0.977,341.691,132.455
2025-08-11T03:45:00,15.706,1.004,108.177,38.372
2025-08-11T03:50:00,15.625,0.999,52.715,44.284
2025-08-11T03:55:00,14.935,1.002,70.263,54.778
2025-08-11T04:00:00,15.61,1.002,53.923,42.078
2025-08-11T04:05:00,16.592,1.002,132.555,60.838
2025-08-11T04:10:00,20.478,1.003,118.214,74.792
2025-08-11T04:15:00,15.617,1.007,37.658,60.11
2025-08-11T04:20:00,15.181,1.0,61.831,51.097
2025-08-11T04:25:00,15.12,1.001,72.509,49.825
2025-08-11T04:30:00,15.563,1.002,46.61,41.477
2025-08-11T04:35:00,17.232,1.002,43.872,55.457
2025-08-11T04:40:00,15.998,1.002,83.23,40.107
2025-08-11T04:45:00,17.312,1.004,143.3,58.698
2025-08-11T04:50:00,22.428,0.998,217.244,98.122
2025-08-11T04:55:00,24.713,0.75,112.864,146.762
2025-08-11T22:00:00,22.637,0.815,164.297,71.517
2025-08-11T22:05:00,29.875,0.977,201.44,188.458
2025-08-11T22:10:00,27.242,0.996,46.307,191.481
2025-08-11T22:15:00,26.234,0.974,103.737,169.429
2025-08-11T22:20:00,25.292,1.001,91.072,175.736
2025-08-11T22:25:00,23.54,1.002,90.391,159.947
2025-08-11T22:30:00,21.012,1.004,53.676,139.13
2025-08-11T22:35:00,22.73,1.003,87.544,137.893
2025-08-11T22:40:00,21.307,1.001,47.71,141.09
2025-08-11T22:45:00,20.543,0.997,81.033,119.58
2025-08-11T22:50:00,18.793,1.005,137.261,105.039
2025-08-11T22:55:00,15.02,1.003,192.771,45.621
2025-08-11T23:00:00,13.572,1.0,368.091,47.759
2025-08-11T23:05:00,11.485,0.982,187.087,28.569
2025-08-11T23:10:00,12.285,1.003,238.778,42.491
2025-08-11T23:15:00,16.246,0.998,115.869,72.639
2025-08-11T23:20:00,17.956,0.989,113.735,66.3
2025-08-11T23:25:00,19.497,0.995,123.983,72.291
2025-08-11T23:30:00,31.937,0.894,87.221,256.919
2025-08-11T23:35:00,33.541,0.947,109.052,216.07
2025-08-11T23:40:00,31.077,0.968,145.582,172.375
2025-08-11T23:45:00,29.606,0.976,128.545,172.958
2025-08-11T23:50:00,25.177,1.004,35.957,146.079
2025-08-11T23:55:00,19.893,0.876,275.445,61.43
