timestamp,rmssd,coverage,low_frequency,high_frequency
2025-07-24T00:00:00,27.894,1.001,646.198,140.78
2025-07-24T00:05:00,26.088,0.95,825.093,166.11
2025-07-24T00:10:00,27.451,0.994,148.081,207.28
2025-07-24T00:15:00,27.721,0.949,424.159,194.631
2025-07-24T00:20:00,28.905,1.003,238.689,207.736
2025-07-24T00:25:00,28.091,0.993,197.819,182.71
2025-07-24T00:30:00,28.847,1.003,260.836,230.645
2025-07-24T00:35:00,30.179,1.002,195.985,254.353
2025-07-24T00:40:00,30.373,0.999,121.151,220.137
2025-07-24T00:45:00,31.052,1.003,167.302,288.997
2025-07-24T00:50:00,24.396,0.966,982.401,178.481
2025-07-24T00:55:00,23.974,1.001,169.891,147.543
2025-07-24T01:00:00,17.656,0.997,328.331,79.076
2025-07-24T01:05:00,24.753,0.943,381.014,180.595
2025-07-24T01:10:00,31.27,0.953,1683.66,228.331
2025-07-24T01:15:00,23.759,0.965,244.331,84.313
2025-07-24T01:20:00,23.005,0.999,347.399,112.041
2025-07-24T01:25:00,21.8,1.003,167.943,112.25
2025-07-24T01:30:00,20.751,1.005,365.222,75.161
2025-07-24T01:35:00,24.092,1.004,474.157,127.221
2025-07-24T01:40:00,22.601,0.941,354.424,112.018
2025-07-24T01:45:00,21.849,1.004,482.415,98.744
2025-07-24T01:50:00,21.749,0.964,470.78,107.176
2025-07-24T01:55:00,25.333,1.003,797.886,117.795
2025-07-24T02:00:00,25.517,0.897,264.797,160.109
2025-07-24T02:05:00,29.685,0.998,638.532,217.922
2025-07-24T02:10:00,24.819,1.005,217.894,136.241
2025-07-24T02:15:00,26.884,1.003,307.94,127.576
2025-07-24T02:20:00,25.736,0.989,392.527,184.845
2025-07-24T02:25:00,22.437,0.998,310.09,115.79
2025-07-24T02:30:00,26.319,0.963,424.193,183.856
2025-07-24T02:35:00,24.398,0.937,783.583,92.254
2025-07-24T02:40:00,21.887,0.862,595.429,71.927
2025-07-24T02:45:00,21.346,1.004,390.378,85.464
2025-07-24T02:50:00,23.004,1.001,338.202,109.375
2025-07-24T02:55:00,21.475,1.002,176.044,138.857
2025-07-24T03:00:00,21.15,1.004,305.514,163.174
2025-07-24T03:05:00,21.698,1.003,167.755,117.681
2025-07-24T03:10:00,22.74,0.997,161.695,107.785
2025-07-24T03:15:00,20.617,1.004,359.631,98.024
2025-07-24T03:20:00,21.449,1.004,383.073,127.936
2025-07-24T03:25:00,20.679,0.958,793.952,80.598
2025-07-24T03:30:00,22.048,0.964,258.116,91.399
2025-07-24T03:35:00,19.495,0.979,135.725,71.127
2025-07-24T03:40:00,16.18,1.0,83.34,54.309
2025-07-24T03:45:00,16.617,0.96,619.746,53.094
2025-07-24T03:50:00,19.076,1.003,986.383,67.626
2025-07-24T03:55:00,21.66,0.912,446.752,110.774
2025-07-24T04:00:00,18.968,1.004,300.394,78.009
2025-07-24T04:05:00,22.493,0.956,283.209,98.55
2025-07-24T04:10:00,23.25,1.0,483.727,102.416
2025-07-24T04:15:00,22.889,0.971,688.216,106.869
