timestamp,rmssd,coverage,low_frequency,high_frequency
2025-07-20T00:00:00,20.144,1.001,123.142,70.515
2025-07-20T00:05:00,24.601,1.001,233.885,112.836
2025-07-20T00:10:00,23.245,0.975,197.944,102.174
2025-07-20T00:15:00,25.623,0.903,338.496,127.205
2025-07-20T00:20:00,32.649,0.993,257.971,199.294
2025-07-20T00:25:00,35.652,1.003,410.561,231.022
2025-07-20T00:30:00,31.116,0.977,707.713,179.312
2025-07-20T00:35:00,28.343,1.001,216.557,147.656
2025-07-20T00:40:00,29.27,1.006,471.811,189.915
2025-07-20T00:45:00,27.947,1.001,330.175,157.779
2025-07-20T00:50:00,29.211,1.003,229.575,185.86
2025-07-20T00:55:00,22.242,0.97,454.976,94.104
2025-07-20T01:00:00,28.797,1.004,291.298,192.165
2025-07-20T01:05:00,26.901,0.972,358.224,138.571
2025-07-20T01:10:00,29.452,0.99,345.491,190.107
2025-07-20T01:15:00,28.939,0.956,312.864,184.918
2025-07-20T01:20:00,28.593,1.006,430.829,187.977
2025-07-20T01:25:00,24.655,0.971,680.764,245.835
2025-07-20T01:30:00,21.015,1.001,314.107,86.405
2025-07-20T01:35:00,23.937,1.006,212.778,103.556
2025-07-20T01:40:00,20.507,0.956,211.834,60.403
2025-07-20T01:45:00,22.119,0.882,713.703,48.683
2025-07-20T01:50:00,23.17,1.003,221.551,116.617
2025-07-20T01:55:00,26.303,1.005,264.865,122.279
2025-07-20T02:00:00,24.777,0.986,130.582,171.73
2025-07-20T02:05:00,24.527,1.004,191.88,118.335
2025-07-20T02:10:00,22.852,1.004,321.135,144.22
2025-07-20T02:15:00,26.58,0.901,1016.649,213.649
2025-07-20T02:20:00,20.53,0.991,816.308,137.615
2025-07-20T02:25:00,22.585,1.003,172.288,170.151
2025-07-20T02:30:00,23.137,0.94,174.875,142.501
2025-07-20T02:35:00,25.352,1.006,397.965,171.4
2025-07-20T02:40:00,22.138,1.002,153.304,107.269
2025-07-20T02:45:00,23.836,1.005,85.513,151.284
2025-07-20T02:50:00,22.167,1.004,130.657,131.961
2025-07-20T02:55:00,20.334,0.932,683.971,109.378
2025-07-20T03:00:00,21.933,1.003,254.55,119.522
2025-07-20T03:05:00,17.703,0.967,111.962,60.999
2025-07-20T03:10:00,22.706,0.892,1163.021,95.299
2025-07-20T03:15:00,19.856,1.002,319.311,65.832
2025-07-20T03:20:00,18.743,0.801,244.31,179.586
2025-07-20T03:25:00,20.806,0.785,255.148,98.565
2025-07-20T22:05:00,24.203,0.977,122.468,123.244
2025-07-20T22:10:00,23.331,0.824,280.395,102.574
2025-07-20T22:15:00,30.872,0.974,343.698,186.566
2025-07-20T22:20:00,27.102,1.002,259.277,107.012
2025-07-20T22:25:00,23.933,0.954,909.294,144.209
2025-07-20T22:30:00,25.57,0.903,299.108,153.36
2025-07-20T22:35:00,25.376,0.976,645.294,162.852
2025-07-20T22:40:00,29.238,0.99,164.835,209.762
2025-07-20T22:45:00,25.83,1.004,140.847,181.077
2025-07-20T22:50:00,27.809,1.004,225.87,236.865
2025-07-20T22:55:00,25.116,0.981,355.249,137.527
2025-07-20T23:00:00,25.307,1.004,150.66,140.347
2025-07-20T23:05:00,29.901,0.886,1013.675,191.159
2025-07-20T23:10:00,26.848,0.988,446.086,190.039
2025-07-20T23:15:00,25.366,1.003,222.405,193.743
2025-07-20T23:20:00,25.341,1.0,294.941,239.054
2025-07-20T23:25:00,26.695,0.989,107.676,235.612
2025-07-20T23:30:00,27.495,0.954,126.681,144.809
2025-07-20T23:35:00,26.638,1.003,144.807,158.774
2025-07-20T23:40:00,23.322,0.943,56.539,116.858
2025-07-20T23:45:00,26.251,0.945,316.255,136.223
2025-07-20T23:50:00,21.431,1.005,145.224,65.088
2025-07-20T23:55:00,21.066,0.985,90.272,74.999
