timestamp,rmssd,coverage,low_frequency,high_frequency
2025-08-20T00:00:00,117.135,0.951,425.57,936.325
2025-08-20T00:15:00,13.859,0.93,170.266,33.42
2025-08-20T00:20:00,14.624,0.936,64.794,43.274
2025-08-20T00:25:00,16.056,0.966,466.717,59.926
2025-08-20T00:30:00,16.006,0.957,1338.316,127.139
2025-08-20T00:35:00,20.854,0.943,1516.201,188.277
2025-08-20T00:40:00,14.938,1.002,1049.86,43.305
2025-08-20T00:45:00,14.806,0.921,280.422,31.222
2025-08-20T00:50:00,14.779,0.881,80.167,32.189
2025-08-20T00:55:00,13.55,0.946,334.842,37.194
2025-08-20T01:00:00,13.731,1.001,34.61,31.641
2025-08-20T01:05:00,12.995,1.003,45.352,26.771
2025-08-20T01:10:00,13.644,0.995,145.815,29.982
2025-08-20T01:15:00,10.016,1.003,42.504,17.384
2025-08-20T01:20:00,10.407,1.004,717.773,41.281
2025-08-20T01:25:00,11.345,0.999,334.86,21.342
2025-08-20T01:30:00,12.058,1.004,90.635,22.3
2025-08-20T01:35:00,13.718,0.912,873.336,82.279
2025-08-20T01:40:00,13.99,0.991,49.793,40.26
2025-08-20T01:45:00,15.275,0.951,192.676,70.449
2025-08-20T01:50:00,21.884,0.933,92.743,114.985
2025-08-20T01:55:00,21.559,0.968,1709.409,159.2
2025-08-20T02:00:00,20.241,1.004,258.91,170.205
2025-08-20T02:05:00,17.613,0.901,63.234,65.436
2025-08-20T02:10:00,15.267,0.951,1614.783,54.515
2025-08-20T02:15:00,17.099,0.967,85.118,42.026
2025-08-20T02:20:00,58.04,0.953,163.878,264.028
2025-08-20T02:25:00,73.377,0.978,249.723,313.412
2025-08-20T02:30:00,108.383,0.941,613.322,283.235
2025-08-20T02:35:00,91.077,0.924,338.794,423.483
2025-08-20T02:40:00,17.322,0.946,133.395,43.201
2025-08-20T02:45:00,16.993,1.004,44.968,55.761
2025-08-20T02:50:00,16.296,1.002,83.085,47.662
2025-08-20T02:55:00,13.011,0.965,90.156,30.448
2025-08-20T03:00:00,14.719,0.955,214.29,49.721
2025-08-20T03:05:00,52.321,1.001,107.861,433.644
2025-08-20T03:10:00,10.531,0.95,60.937,37.835
2025-08-20T03:15:00,68.157,1.003,91.585,598.569
2025-08-20T03:20:00,99.416,1.004,73.936,188.205
2025-08-20T03:25:00,93.014,0.998,64.098,174.152
2025-08-20T03:30:00,86.751,0.973,99.675,508.385
2025-08-20T03:35:00,78.711,1.005,70.962,315.091
2025-08-20T03:40:00,69.453,0.995,86.145,457.218
2025-08-20T03:45:00,55.116,1.004,121.618,369.735
2025-08-20T03:50:00,16.344,0.998,29.293,58.593
2025-08-20T03:55:00,13.963,1.0,54.571,35.083
2025-08-20T04:00:00,22.504,0.935,1476.35,128.158
2025-08-20T04:05:00,38.243,0.943,242.826,262.959
2025-08-20T04:10:00,24.451,0.995,125.624,117.411
2025-08-20T04:15:00,14.945,0.978,259.095,66.469
2025-08-20T04:25:00,17.172,0.871,126.164,43.975
2025-08-20T04:30:00,19.073,0.98,85.06,46.352
2025-08-20T04:35:00,28.064,0.988,94.292,63.399
2025-08-20T04:40:00,27.036,1.0,257.688,119.065
2025-08-20T04:45:00,34.525,1.004,65.415,183.565
2025-08-20T04:50:00,31.107,1.003,72.755,159.35
2025-08-20T04:55:00,34.869,0.936,191.881,68.843
2025-08-20T05:00:00,39.328,0.988,148.035,157.722
2025-08-20T05:05:00,46.673,1.002,60.35,150.75
2025-08-20T05:10:00,38.791,0.959,74.959,67.26
2025-08-20T05:15:00,36.094,0.975,2909.807,453.251
2025-08-20T05:20:00,41.153,1.002,21.566,142.534
2025-08-20T05:25:00,30.967,0.973,50.088,85.492
2025-08-20T05:30:00,36.328,0.995,42.614,119.357
2025-08-20T05:35:00,32.215,0.986,142.316,112.874
2025-08-20T05:40:00,34.52,1.001,56.156,114.484
2025-08-20T05:45:00,28.794,1.004,65.12,115.537
2025-08-20T05:50:00,21.818,1.004,48.391,68.662
2025-08-20T23:00:00,18.161,0.936,179.879,76.235
2025-08-20T23:05:00,17.898,0.985,92.369,54.677
2025-08-20T23:10:00,16.998,0.999,47.79,49.553
2025-08-20T23:15:00,16.413,1.002,78.598,57.892
2025-08-20T23:20:00,14.518,1.004,71.564,36.903
2025-08-20T23:25:00,16.675,0.999,57.911,57.319
2025-08-20T23:30:00,18.95,0.798,98.537,45.251
2025-08-20T23:35:00,22.787,1.003,1209.675,200.657
2025-08-20T23:40:00,31.576,1.002,3498.522,555.146
2025-08-20T23:45:00,36.473,0.94,4392.72,476.624
2025-08-20T23:50:00,34.627,0.898,4503.274,471.392
2025-08-20T23:55:00,35.427,1.0,2464.506,326.551
