timestamp,heart rate zone,total minutes,data source
2025-08-02T02:55:00Z,FAT_BURN,1,Sense 2
2025-08-03T02:01:00Z,FAT_BURN,1,Sense 2
2025-08-03T02:02:00Z,FAT_BURN,1,Sense 2
2025-08-03T03:05:00Z,FAT_BURN,1,Sense 2
2025-08-03T03:06:00Z,FAT_BURN,1,Sense 2
2025-08-03T15:42:00Z,FAT_BURN,1,Sense 2
2025-08-03T15:44:00Z,FAT_BURN,1,Sense 2
2025-08-04T08:50:00Z,FAT_BURN,1,Sense 2
2025-08-04T16:17:00Z,FAT_BURN,1,Sense 2
2025-08-04T16:18:00Z,FAT_BURN,1,Sense 2
2025-08-04T16:20:00Z,FAT_BURN,1,Sense 2
2025-08-05T03:41:00Z,FAT_BURN,1,Sense 2
2025-08-05T16:05:00Z,FAT_BURN,1,Sense 2
2025-08-06T03:00:00Z,FAT_BURN,1,Sense 2
2025-08-06T03:01:00Z,FAT_BURN,1,Sense 2
2025-08-06T03:02:00Z,FAT_BURN,1,Sense 2
2025-08-07T23:57:00Z,FAT_BURN,1,Sense 2
2025-08-07T23:58:00Z,FAT_BURN,1,Sense 2
2025-08-08T00:03:00Z,FAT_BURN,1,Sense 2
2025-08-08T12:43:00Z,FAT_BURN,1,Sense 2
2025-08-08T12:44:00Z,FAT_BURN,1,Sense 2
2025-08-08T12:49:00Z,FAT_BURN,1,Sense 2
2025-08-13T07:40:00Z,FAT_BURN,1,Sense 2
2025-08-13T07:41:00Z,FAT_BURN,1,Sense 2
2025-08-13T07:45:00Z,FAT_BURN,1,Sense 2
2025-08-13T07:46:00Z,FAT_BURN,1,Sense 2
2025-08-13T07:48:00Z,FAT_BURN,1,Sense 2
2025-08-16T04:38:00Z,FAT_BURN,1,Sense 2
2025-08-16T04:59:00Z,FAT_BURN,1,Sense 2
2025-08-16T05:00:00Z,FAT_BURN,1,Sense 2
2025-08-16T05:02:00Z,FAT_BURN,1,Sense 2
2025-08-16T05:03:00Z,FAT_BURN,1,Sense 2
2025-08-16T05:04:00Z,FAT_BURN,1,Sense 2
2025-08-16T05:05:00Z,FAT_BURN,1,Sense 2
2025-08-16T05:06:00Z,FAT_BURN,1,Sense 2
2025-08-16T05:07:00Z,FAT_BURN,1,Sense 2
2025-08-16T05:49:00Z,FAT_BURN,1,Sense 2
2025-08-16T05:50:00Z,FAT_BURN,1,Sense 2
2025-08-17T23:05:00Z,FAT_BURN,1,Sense 2
2025-08-17T23:06:00Z,FAT_BURN,1,Sense 2
2025-08-19T13:24:00Z,FAT_BURN,1,Sense 2
2025-08-24T22:44:00Z,FAT_BURN,1,Sense 2
2025-08-27T02:06:00Z,FAT_BURN,1,Sense 2
2025-08-27T13:06:00Z,FAT_BURN,1,Sense 2
2025-08-28T02:20:00Z,FAT_BURN,1,Sense 2
2025-08-28T02:23:00Z,FAT_BURN,1,Sense 2
2025-08-28T14:49:00Z,FAT_BURN,1,Sense 2
2025-08-29T09:17:00Z,FAT_BURN,1,Sense 2
2025-08-29T09:19:00Z,FAT_BURN,1,Sense 2
2025-08-29T09:20:00Z,FAT_BURN,1,Sense 2
2025-08-29T09:21:00Z,FAT_BURN,1,Sense 2
2025-08-29T09:22:00Z,FAT_BURN,1,Sense 2
2025-08-29T09:23:00Z,FAT_BURN,1,Sense 2
2025-08-29T09:24:00Z,FAT_BURN,1,Sense 2
2025-08-29T09:25:00Z,FAT_BURN,1,Sense 2
2025-08-29T14:14:00Z,FAT_BURN,1,Sense 2
2025-08-29T14:15:00Z,FAT_BURN,1,Sense 2
2025-08-29T14:16:00Z,FAT_BURN,1,Sense 2
2025-08-29T14:17:00Z,FAT_BURN,1,Sense 2
2025-08-30T02:24:00Z,FAT_BURN,1,Sense 2
2025-08-30T03:34:00Z,FAT_BURN,1,Sense 2
2025-08-30T03:35:00Z,FAT_BURN,1,Sense 2
2025-08-30T03:38:00Z,FAT_BURN,1,Sense 2
2025-08-30T03:39:00Z,FAT_BURN,1,Sense 2
2025-08-30T03:44:00Z,FAT_BURN,1,Sense 2
2025-08-30T11:48:00Z,FAT_BURN,1,Sense 2
2025-08-30T11:49:00Z,FAT_BURN,1,Sense 2
2025-08-30T11:50:00Z,FAT_BURN,1,Sense 2
2025-08-31T10:09:00Z,FAT_BURN,1,Sense 2
2025-08-31T10:13:00Z,FAT_BURN,1,Sense 2
2025-08-31T13:48:00Z,FAT_BURN,1,Sense 2
