start time,end time,data source
2025-07-30T01:45:00Z,2025-07-30T02:07:00Z,Fitbit App
2025-07-30T02:15:00Z,2025-07-30T02:27:00Z,Fitbit App
2025-07-30T02:37:00Z,2025-07-30T03:20:00Z,Fitbit App
2025-07-30T03:25:00Z,2025-07-30T03:37:00Z,Fitbit App
2025-07-30T03:42:00Z,2025-07-30T04:24:00Z,Fitbit App
2025-07-30T04:40:00Z,2025-07-30T05:30:00Z,Fitbit App
2025-07-30T06:15:00Z,2025-07-30T06:25:00Z,Fitbit App
2025-07-30T07:11:00Z,2025-07-30T07:25:00Z,Fitbit App
2025-07-30T07:32:00Z,2025-07-30T08:07:00Z,Fitbit App
2025-07-30T08:44:00Z,2025-07-30T09:38:00Z,Fitbit App
2025-07-30T10:35:00Z,2025-07-30T11:23:00Z,Fitbit App
2025-07-30T11:24:00Z,2025-07-30T11:37:00Z,Fitbit App
2025-07-30T11:56:00Z,2025-07-30T13:02:00Z,Fitbit App
2025-07-30T13:35:00Z,2025-07-30T15:15:00Z,Fitbit App
