timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-08-07T01:12:00Z,1,0,0,Sense 2
2025-08-07T01:12:01Z,1,0,0,Sense 2
2025-08-07T01:12:02Z,2,110,-304,Sense 2
2025-08-07T01:12:03Z,1,190,0,Sense 2
2025-08-07T01:12:04Z,1,270,0,Sense 2
2025-08-07T01:12:05Z,0,350,304,Sense 2
2025-08-07T01:12:06Z,0,370,0,Sense 2
2025-08-07T01:12:07Z,0,0,-304,Sense 2
2025-08-07T01:12:08Z,0,0,0,Sense 2
2025-08-07T01:12:09Z,2,0,304,Sense 2
2025-08-07T01:12:10Z,1,0,-304,Sense 2
2025-08-07T01:12:11Z,2,0,609,Sense 2
2025-08-07T01:12:12Z,1,0,-304,Sense 2
2025-08-07T01:12:13Z,2,120,-304,Sense 2
2025-08-07T01:12:14Z,2,270,0,Sense 2
2025-08-07T01:12:15Z,2,430,0,Sense 2
2025-08-07T01:12:16Z,1,600,0,Sense 2
2025-08-07T01:12:17Z,1,750,0,Sense 2
2025-08-07T01:12:18Z,3,830,0,Sense 2
2025-08-07T01:12:19Z,0,850,0,Sense 2
2025-08-07T01:12:20Z,0,780,609,Sense 2
2025-08-07T01:12:21Z,0,710,0,Sense 2
2025-08-07T01:12:22Z,0,620,0,Sense 2
2025-08-07T01:12:23Z,0,0,0,Sense 2
2025-08-07T01:12:24Z,0,0,-304,Sense 2
2025-08-07T01:12:25Z,0,0,-304,Sense 2
2025-08-07T01:12:26Z,0,0,0,Sense 2
2025-08-07T01:12:27Z,0,0,304,Sense 2
2025-08-07T01:12:28Z,0,0,-304,Sense 2
2025-08-07T01:12:29Z,0,0,609,Sense 2
2025-08-07T01:12:30Z,0,0,0,Sense 2
2025-08-07T01:12:31Z,0,0,-304,Sense 2
2025-08-07T01:12:32Z,0,0,-304,Sense 2
2025-08-07T01:12:33Z,0,0,0,Sense 2
2025-08-07T01:12:34Z,0,0,0,Sense 2
2025-08-07T01:12:35Z,0,0,914,Sense 2
2025-08-07T01:12:36Z,2,0,0,Sense 2
2025-08-07T01:12:37Z,2,0,0,Sense 2
2025-08-07T01:12:38Z,0,0,-304,Sense 2
2025-08-07T01:12:39Z,0,0,0,Sense 2
2025-08-07T01:12:40Z,0,0,0,Sense 2
2025-08-07T01:12:41Z,0,0,0,Sense 2
2025-08-07T01:12:42Z,0,0,304,Sense 2
2025-08-07T01:12:43Z,0,0,-304,Sense 2
2025-08-07T01:12:44Z,0,0,0,Sense 2
2025-08-07T01:12:45Z,0,0,0,Sense 2
2025-08-07T01:12:46Z,0,0,0,Sense 2
2025-08-07T01:12:47Z,0,0,-609,Sense 2
2025-08-07T01:12:48Z,0,0,609,Sense 2
2025-08-07T01:12:49Z,0,0,304,Sense 2
2025-08-07T01:12:50Z,0,0,-304,Sense 2
2025-08-07T01:12:51Z,0,0,304,Sense 2
2025-08-07T01:12:52Z,0,0,-304,Sense 2
2025-08-07T01:12:53Z,1,0,304,Sense 2
2025-08-07T01:12:54Z,0,0,0,Sense 2
2025-08-07T01:12:55Z,1,0,304,Sense 2
2025-08-07T01:12:56Z,1,0,609,Sense 2
2025-08-07T01:12:57Z,2,0,-914,Sense 2
2025-08-07T01:12:58Z,0,0,-304,Sense 2
2025-08-07T01:12:59Z,1,0,304,Sense 2
2025-08-07T01:13:00Z,3,0,0,Sense 2
2025-08-07T01:13:01Z,1,0,0,Sense 2
2025-08-07T01:13:02Z,1,130,0,Sense 2
2025-08-07T01:13:03Z,0,230,0,Sense 2
2025-08-07T01:13:04Z,2,360,0,Sense 2
2025-08-07T01:13:05Z,1,510,-304,Sense 2
2025-08-07T01:13:06Z,1,650,304,Sense 2
2025-08-07T01:13:07Z,1,650,-304,Sense 2
2025-08-07T01:13:08Z,1,690,0,Sense 2
2025-08-07T01:13:09Z,2,710,609,Sense 2
2025-08-07T01:13:10Z,2,770,0,Sense 2
2025-08-07T01:13:11Z,1,810,-304,Sense 2
2025-08-07T01:13:12Z,0,810,0,Sense 2
2025-08-07T01:13:13Z,0,1450,609,Sense 2
2025-08-07T01:13:14Z,0,0,-609,Sense 2
2025-08-07T01:13:15Z,0,0,0,Sense 2
2025-08-07T01:13:16Z,0,0,304,Sense 2
2025-08-07T01:13:17Z,0,0,1219,Sense 2
2025-08-07T01:13:18Z,0,0,0,Sense 2
2025-08-07T01:13:19Z,0,0,-609,Sense 2
2025-08-07T01:13:20Z,0,0,-609,Sense 2
2025-08-07T01:13:21Z,0,0,0,Sense 2
2025-08-07T01:13:22Z,0,0,304,Sense 2
2025-08-07T01:13:23Z,0,0,-609,Sense 2
2025-08-07T01:13:24Z,0,0,0,Sense 2
2025-08-07T01:13:25Z,0,0,-304,Sense 2
2025-08-07T01:13:26Z,0,0,304,Sense 2
2025-08-07T01:13:27Z,0,0,304,Sense 2
2025-08-07T01:13:28Z,0,0,-1219,Sense 2
2025-08-07T01:13:29Z,0,0,304,Sense 2
2025-08-07T01:13:30Z,0,0,-304,Sense 2
2025-08-07T01:13:31Z,0,0,0,Sense 2
2025-08-07T01:13:32Z,0,0,609,Sense 2
2025-08-07T01:13:33Z,0,0,304,Sense 2
2025-08-07T01:13:34Z,0,0,-304,Sense 2
2025-08-07T01:13:35Z,1,0,0,Sense 2
2025-08-07T01:13:36Z,1,0,609,Sense 2
2025-08-07T01:13:37Z,2,0,304,Sense 2
2025-08-07T01:13:38Z,0,0,0,Sense 2
2025-08-07T01:13:39Z,4,0,1828,Sense 2
2025-08-07T01:13:40Z,0,0,0,Sense 2
2025-08-07T01:13:41Z,1,0,304,Sense 2
2025-08-07T01:13:42Z,2,0,0,Sense 2
2025-08-07T01:13:43Z,1,0,0,Sense 2
2025-08-07T01:13:44Z,1,130,-304,Sense 2
2025-08-07T01:13:45Z,1,270,0,Sense 2
2025-08-07T01:13:46Z,2,440,914,Sense 2
2025-08-07T01:13:47Z,0,560,304,Sense 2
2025-08-07T01:13:48Z,2,660,1524,Sense 2
2025-08-07T01:13:49Z,2,740,914,Sense 2
2025-08-07T01:13:50Z,0,750,0,Sense 2
2025-08-07T01:13:51Z,0,690,-609,Sense 2
2025-08-07T01:13:52Z,0,1290,1219,Sense 2
2025-08-07T01:13:53Z,0,0,0,Sense 2
2025-08-07T01:13:54Z,0,0,1524,Sense 2
2025-08-07T01:13:55Z,0,0,-304,Sense 2
2025-08-07T01:13:56Z,0,0,914,Sense 2
2025-08-07T01:13:57Z,0,0,304,Sense 2
2025-08-07T01:13:58Z,0,0,0,Sense 2
2025-08-07T01:13:59Z,0,0,609,Sense 2
2025-08-07T01:14:00Z,0,0,-914,Sense 2
2025-08-07T01:14:01Z,0,0,304,Sense 2
2025-08-07T01:14:02Z,0,0,304,Sense 2
2025-08-07T01:14:03Z,0,0,304,Sense 2
2025-08-07T01:14:04Z,0,0,914,Sense 2
2025-08-07T01:14:05Z,0,0,609,Sense 2
2025-08-07T01:14:06Z,0,0,-304,Sense 2
2025-08-07T01:14:07Z,1,0,304,Sense 2
2025-08-07T01:14:08Z,1,0,-304,Sense 2
2025-08-07T01:14:09Z,2,0,914,Sense 2
2025-08-07T01:14:10Z,1,0,-914,Sense 2
2025-08-07T01:14:11Z,3,130,0,Sense 2
2025-08-07T01:14:12Z,1,270,-2133,Sense 2
2025-08-07T01:14:13Z,1,410,-609,Sense 2
2025-08-07T01:14:14Z,2,570,609,Sense 2
2025-08-07T01:14:15Z,1,730,0,Sense 2
2025-08-07T01:14:16Z,3,820,-2743,Sense 2
2025-08-07T01:14:17Z,1,890,-304,Sense 2
2025-08-07T01:14:18Z,1,890,-304,Sense 2
2025-08-07T01:14:19Z,1,940,-304,Sense 2
2025-08-07T01:14:20Z,1,940,-1524,Sense 2
2025-08-07T01:14:21Z,3,1000,-609,Sense 2
2025-08-07T01:14:22Z,2,1080,-914,Sense 2
2025-08-07T01:14:23Z,2,1130,-1219,Sense 2
2025-08-07T01:14:24Z,1,1160,0,Sense 2
2025-08-07T01:14:25Z,1,1200,1219,Sense 2
2025-08-07T01:14:26Z,3,1220,-1219,Sense 2
2025-08-07T01:14:27Z,3,1260,-609,Sense 2
2025-08-07T01:14:28Z,0,1240,-304,Sense 2
2025-08-07T01:14:29Z,0,3460,0,Sense 2
2025-08-07T01:14:30Z,0,0,-609,Sense 2
2025-08-07T01:14:31Z,0,0,304,Sense 2
2025-08-07T01:14:32Z,0,0,1219,Sense 2
2025-08-07T01:14:33Z,0,0,-609,Sense 2
