start time,end time,data source
2025-07-27T00:20:00Z,2025-07-27T00:37:00Z,Fitbit App
2025-07-27T02:06:00Z,2025-07-27T03:35:00Z,Fitbit App
2025-07-27T03:56:00Z,2025-07-27T04:25:00Z,Fitbit App
2025-07-27T05:15:00Z,2025-07-27T05:28:00Z,Fitbit App
2025-07-27T05:33:00Z,2025-07-27T05:46:00Z,Fitbit App
2025-07-27T05:54:00Z,2025-07-27T06:06:00Z,Fitbit App
2025-07-27T06:19:00Z,2025-07-27T07:03:00Z,Fitbit App
2025-07-27T07:08:00Z,2025-07-27T07:48:00Z,Fitbit App
2025-07-27T07:49:00Z,2025-07-27T09:44:00Z,Fitbit App
2025-07-27T09:46:00Z,2025-07-27T10:53:00Z,Fitbit App
2025-07-27T12:31:00Z,2025-07-27T13:22:00Z,Fitbit App
2025-07-27T13:31:00Z,2025-07-27T14:05:00Z,Fitbit App
2025-07-27T14:24:00Z,2025-07-27T15:17:00Z,Fitbit App
2025-07-27T15:29:00Z,2025-07-27T16:10:00Z,Fitbit App
2025-07-27T16:15:00Z,2025-07-27T16:34:00Z,Fitbit App
2025-07-27T16:39:00Z,2025-07-27T16:52:00Z,Fitbit App
2025-07-27T17:00:00Z,2025-07-27T17:51:00Z,Fitbit App
2025-07-27T17:52:00Z,2025-07-27T18:11:00Z,Fitbit App
