start time,end time,data source
2025-07-22T01:58:00Z,2025-07-22T02:15:00Z,Fitbit App
2025-07-22T03:30:00Z,2025-07-22T03:50:00Z,Fitbit App
2025-07-22T05:17:00Z,2025-07-22T06:19:00Z,Fitbit App
2025-07-22T06:24:00Z,2025-07-22T06:53:00Z,Fitbit App
2025-07-22T07:06:00Z,2025-07-22T07:21:00Z,Fitbit App
2025-07-22T08:23:00Z,2025-07-22T08:33:00Z,Fitbit App
2025-07-22T08:39:00Z,2025-07-22T08:55:00Z,Fitbit App
2025-07-22T08:56:00Z,2025-07-22T09:53:00Z,Fitbit App
2025-07-22T09:56:00Z,2025-07-22T10:21:00Z,Fitbit App
2025-07-22T10:26:00Z,2025-07-22T11:41:00Z,Fitbit App
2025-07-22T11:42:00Z,2025-07-22T12:08:00Z,Fitbit App
2025-07-22T19:03:00Z,2025-07-22T19:54:00Z,Fitbit App
2025-07-22T19:55:00Z,2025-07-22T20:15:00Z,Fitbit App
2025-07-22T21:47:00Z,2025-07-22T22:21:00Z,Fitbit App
2025-07-22T23:32:00Z,2025-07-22T23:43:00Z,Fitbit App
2025-07-22T23:54:00Z,2025-07-23T00:04:00Z,Fitbit App
