start time,end time,data source
2025-08-24T01:26:00Z,2025-08-24T02:04:00Z,Fitbit App
2025-08-24T02:15:00Z,2025-08-24T04:47:00Z,Fitbit App
2025-08-24T06:37:00Z,2025-08-24T07:59:00Z,Fitbit App
2025-08-24T08:00:00Z,2025-08-24T08:33:00Z,Fitbit App
2025-08-24T08:34:00Z,2025-08-24T09:23:00Z,Fitbit App
2025-08-24T09:24:00Z,2025-08-24T10:18:00Z,Fitbit App
2025-08-24T10:19:00Z,2025-08-24T10:41:00Z,Fitbit App
2025-08-24T11:27:00Z,2025-08-24T14:15:00Z,Fitbit App
2025-08-24T14:16:00Z,2025-08-24T14:40:00Z,Fitbit App
2025-08-24T22:23:00Z,2025-08-24T22:40:00Z,Fitbit App
2025-08-24T23:25:00Z,2025-08-25T00:18:00Z,Fitbit App
