timestamp,workout,background,total,data source
2025-08-01T11:52:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T12:01:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T12:02:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T12:10:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T13:52:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T13:53:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T13:54:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T13:58:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T13:59:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:00:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:03:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:04:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:07:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:08:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:09:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:10:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:11:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:12:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:13:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:14:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:15:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:16:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:17:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:18:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T14:19:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T15:03:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T15:04:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T15:06:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T15:07:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T15:08:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T15:09:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T15:10:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T15:11:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T15:12:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T15:13:00Z,0.0,0.0,0.0,Fitbit App
2025-08-01T15:14:00Z,0.0,0.0,0.0,Fitbit App
