start time,end time,data source
2025-08-22T00:12:00Z,2025-08-22T01:22:00Z,Fitbit App
2025-08-22T01:24:00Z,2025-08-22T03:57:00Z,Fitbit App
2025-08-22T04:02:00Z,2025-08-22T06:26:00Z,Fitbit App
2025-08-22T06:35:00Z,2025-08-22T07:24:00Z,Fitbit App
2025-08-22T07:46:00Z,2025-08-22T08:03:00Z,Fitbit App
2025-08-22T08:15:00Z,2025-08-22T09:10:00Z,Fitbit App
2025-08-22T09:29:00Z,2025-08-22T10:09:00Z,Fitbit App
2025-08-22T10:10:00Z,2025-08-22T10:24:00Z,Fitbit App
2025-08-22T12:08:00Z,2025-08-22T14:47:00Z,Fitbit App
2025-08-22T23:21:00Z,2025-08-22T23:31:00Z,Fitbit App
