start time,end time,data source
2025-08-14T00:17:00Z,2025-08-14T00:41:00Z,Fitbit App
2025-08-14T01:00:00Z,2025-08-14T01:14:00Z,Fitbit App
2025-08-14T02:24:00Z,2025-08-14T02:56:00Z,Fitbit App
2025-08-14T03:05:00Z,2025-08-14T03:30:00Z,Fitbit App
2025-08-14T04:02:00Z,2025-08-14T04:39:00Z,Fitbit App
2025-08-14T04:59:00Z,2025-08-14T05:17:00Z,Fitbit App
2025-08-14T05:29:00Z,2025-08-14T06:45:00Z,Fitbit App
2025-08-14T07:34:00Z,2025-08-14T08:21:00Z,Fitbit App
2025-08-14T08:32:00Z,2025-08-14T08:53:00Z,Fitbit App
2025-08-14T09:39:00Z,2025-08-14T10:02:00Z,Fitbit App
2025-08-14T10:51:00Z,2025-08-14T11:01:00Z,Fitbit App
2025-08-14T11:10:00Z,2025-08-14T11:29:00Z,Fitbit App
2025-08-14T11:41:00Z,2025-08-14T12:11:00Z,Fitbit App
2025-08-14T12:25:00Z,2025-08-14T13:43:00Z,Fitbit App
2025-08-14T13:45:00Z,2025-08-14T14:56:00Z,Fitbit App
2025-08-14T23:03:00Z,2025-08-15T00:14:00Z,Fitbit App
