timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2025-08-03T04:50:00Z,151.83,0.0,Fitbit App
2025-08-03T04:55:00Z,51.54,0.0,Fitbit App
2025-08-03T05:00:00Z,115.935,0.0,Fitbit App
2025-08-03T05:30:00Z,40.059,0.0,Fitbit App
2025-08-03T05:35:00Z,30.143,0.0,Fitbit App
2025-08-03T05:40:00Z,29.113,0.0,Fitbit App
2025-08-03T05:45:00Z,39.766,0.0,Fitbit App
2025-08-03T05:50:00Z,35.119,0.0,Fitbit App
2025-08-03T05:55:00Z,26.353,0.0,Fitbit App
2025-08-03T06:00:00Z,34.795,0.0,Fitbit App
2025-08-03T06:05:00Z,41.144,0.0,Fitbit App
2025-08-03T06:10:00Z,45.187,0.0,Fitbit App
2025-08-03T06:15:00Z,49.564,0.0,Fitbit App
2025-08-03T06:20:00Z,29.136,0.0,Fitbit App
2025-08-03T06:25:00Z,29.685,0.0,Fitbit App
2025-08-03T06:30:00Z,37.521,0.0,Fitbit App
2025-08-03T06:35:00Z,30.315,0.0,Fitbit App
2025-08-03T06:40:00Z,20.207,0.0,Fitbit App
2025-08-03T06:45:00Z,17.512,0.0,Fitbit App
2025-08-03T06:50:00Z,33.145,0.0,Fitbit App
2025-08-04T00:25:00Z,63.628,0.0,Fitbit App
2025-08-04T00:30:00Z,32.314,0.0,Fitbit App
2025-08-04T00:35:00Z,33.664,0.0,Fitbit App
2025-08-04T00:40:00Z,37.292,0.0,Fitbit App
2025-08-04T00:45:00Z,15.531,0.0,Fitbit App
2025-08-04T00:50:00Z,14.655,0.0,Fitbit App
2025-08-04T00:55:00Z,14.672,0.0,Fitbit App
2025-08-04T01:00:00Z,16.494,0.0,Fitbit App
2025-08-04T01:05:00Z,11.883,0.0,Fitbit App
2025-08-04T01:10:00Z,29.387,0.0,Fitbit App
2025-08-04T01:15:00Z,11.584,0.0,Fitbit App
2025-08-04T01:20:00Z,12.812,0.0,Fitbit App
2025-08-04T01:25:00Z,20.736,0.0,Fitbit App
2025-08-04T01:30:00Z,21.046,0.0,Fitbit App
2025-08-04T01:35:00Z,17.449,0.0,Fitbit App
2025-08-04T01:40:00Z,17.889,0.0,Fitbit App
2025-08-04T01:45:00Z,12.035,0.0,Fitbit App
2025-08-04T01:50:00Z,11.479,0.0,Fitbit App
2025-08-04T01:55:00Z,11.066,0.0,Fitbit App
2025-08-04T02:00:00Z,12.893,0.0,Fitbit App
2025-08-04T02:05:00Z,11.315,0.0,Fitbit App
2025-08-04T02:10:00Z,23.513,0.0,Fitbit App
2025-08-04T02:15:00Z,27.413,0.0,Fitbit App
2025-08-04T02:20:00Z,23.641,0.0,Fitbit App
2025-08-04T02:25:00Z,16.052,0.0,Fitbit App
2025-08-04T02:30:00Z,16.776,0.0,Fitbit App
2025-08-04T02:35:00Z,15.671,0.0,Fitbit App
2025-08-04T02:40:00Z,20.512,0.0,Fitbit App
2025-08-04T02:45:00Z,26.171,0.0,Fitbit App
2025-08-04T02:50:00Z,24.746,0.0,Fitbit App
2025-08-04T02:55:00Z,30.602,0.0,Fitbit App
2025-08-04T03:00:00Z,31.899,0.0,Fitbit App
2025-08-04T03:05:00Z,33.956,0.0,Fitbit App
2025-08-04T03:10:00Z,35.286,0.0,Fitbit App
2025-08-04T03:15:00Z,23.52,0.0,Fitbit App
2025-08-04T03:20:00Z,23.834,0.0,Fitbit App
