timestamp,level,data source
2025-08-01T00:57:00Z,SEDENTARY,Fitbit App
2025-08-01T11:47:00Z,SEDENTARY,Fitbit App
2025-08-01T11:48:00Z,SEDENTARY,Fitbit App
2025-08-01T11:49:00Z,SEDENTARY,Fitbit App
2025-08-01T11:51:00Z,SEDENTARY,Fitbit App
2025-08-01T11:53:00Z,SEDENTARY,Fitbit App
2025-08-01T11:59:00Z,SEDENTARY,Fitbit App
2025-08-01T12:00:00Z,SEDENTARY,Fitbit App
2025-08-01T12:01:00Z,SEDENTARY,Fitbit App
2025-08-01T12:02:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T12:03:00Z,SEDENTARY,Fitbit App
2025-08-01T12:05:00Z,SEDENTARY,Fitbit App
2025-08-01T12:08:00Z,SEDENTARY,Fitbit App
2025-08-01T12:09:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T12:10:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T12:12:00Z,SEDENTARY,Fitbit App
2025-08-01T12:14:00Z,SEDENTARY,Fitbit App
2025-08-01T12:15:00Z,SEDENTARY,Fitbit App
2025-08-01T12:16:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T12:17:00Z,SEDENTARY,Fitbit App
2025-08-01T12:21:00Z,SEDENTARY,Fitbit App
2025-08-01T12:22:00Z,SEDENTARY,Fitbit App
2025-08-01T12:35:00Z,SEDENTARY,Fitbit App
2025-08-01T12:39:00Z,SEDENTARY,Fitbit App
2025-08-01T12:49:00Z,SEDENTARY,Fitbit App
2025-08-01T12:51:00Z,SEDENTARY,Fitbit App
2025-08-01T12:52:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T12:54:00Z,SEDENTARY,Fitbit App
2025-08-01T12:55:00Z,SEDENTARY,Fitbit App
2025-08-01T12:56:00Z,SEDENTARY,Fitbit App
2025-08-01T12:57:00Z,SEDENTARY,Fitbit App
2025-08-01T13:00:00Z,SEDENTARY,Fitbit App
2025-08-01T13:04:00Z,SEDENTARY,Fitbit App
2025-08-01T13:06:00Z,SEDENTARY,Fitbit App
2025-08-01T13:07:00Z,SEDENTARY,Fitbit App
2025-08-01T13:11:00Z,SEDENTARY,Fitbit App
2025-08-01T13:12:00Z,SEDENTARY,Fitbit App
2025-08-01T13:16:00Z,SEDENTARY,Fitbit App
2025-08-01T13:20:00Z,SEDENTARY,Fitbit App
2025-08-01T13:21:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T13:36:00Z,SEDENTARY,Fitbit App
2025-08-01T13:37:00Z,SEDENTARY,Fitbit App
2025-08-01T13:50:00Z,SEDENTARY,Fitbit App
2025-08-01T13:51:00Z,SEDENTARY,Fitbit App
2025-08-01T13:52:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T13:53:00Z,SEDENTARY,Fitbit App
2025-08-01T13:54:00Z,SEDENTARY,Fitbit App
2025-08-01T13:56:00Z,SEDENTARY,Fitbit App
2025-08-01T13:57:00Z,SEDENTARY,Fitbit App
2025-08-01T13:58:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T13:59:00Z,SEDENTARY,Fitbit App
2025-08-01T14:00:00Z,SEDENTARY,Fitbit App
2025-08-01T14:01:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T14:02:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T14:03:00Z,SEDENTARY,Fitbit App
2025-08-01T14:04:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T14:05:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T14:06:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-01T14:07:00Z,VERY_ACTIVE,Fitbit App
2025-08-01T14:08:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-01T14:09:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T14:10:00Z,VERY_ACTIVE,Fitbit App
2025-08-01T14:11:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T14:12:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T14:13:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T14:14:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T14:15:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T14:16:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-01T14:17:00Z,SEDENTARY,Fitbit App
2025-08-01T14:18:00Z,SEDENTARY,Fitbit App
2025-08-01T14:19:00Z,SEDENTARY,Fitbit App
2025-08-01T14:21:00Z,SEDENTARY,Fitbit App
2025-08-01T14:26:00Z,SEDENTARY,Fitbit App
2025-08-01T14:29:00Z,SEDENTARY,Fitbit App
2025-08-01T14:30:00Z,SEDENTARY,Fitbit App
2025-08-01T14:31:00Z,SEDENTARY,Fitbit App
2025-08-01T14:37:00Z,SEDENTARY,Fitbit App
