start time,end time,data source
2025-08-10T08:51:00Z,2025-08-10T10:02:00Z,Fitbit App
2025-08-10T10:40:00Z,2025-08-10T10:56:00Z,Fitbit App
2025-08-10T10:57:00Z,2025-08-10T11:12:00Z,Fitbit App
2025-08-10T11:18:00Z,2025-08-10T11:29:00Z,Fitbit App
2025-08-10T11:51:00Z,2025-08-10T12:19:00Z,Fitbit App
2025-08-10T12:34:00Z,2025-08-10T13:47:00Z,Fitbit App
2025-08-10T22:00:00Z,2025-08-10T22:16:00Z,Fitbit App
2025-08-10T22:51:00Z,2025-08-10T23:11:00Z,Fitbit App
2025-08-10T23:12:00Z,2025-08-10T23:24:00Z,Fitbit App
2025-08-10T23:29:00Z,2025-08-11T00:00:00Z,Fitbit App
