timestamp,temperature celsius,data source
2025-07-14T14:39:00Z,33.3,Sense 2
2025-07-14T14:40:00Z,33.2,Sense 2
2025-07-14T14:41:00Z,33.1,Sense 2
2025-07-14T14:42:00Z,33.0,Sense 2
2025-07-14T14:43:00Z,32.9,Sense 2
2025-07-14T14:44:00Z,32.8,Sense 2
2025-07-14T14:45:00Z,32.7,Sense 2
2025-07-14T14:46:00Z,32.6,Sense 2
2025-07-14T14:47:00Z,32.6,Sense 2
2025-07-14T14:48:00Z,32.6,Sense 2
2025-07-14T14:49:00Z,32.5,Sense 2
2025-07-14T14:50:00Z,32.6,Sense 2
2025-07-14T14:51:00Z,32.5,Sense 2
2025-07-14T14:52:00Z,32.4,Sense 2
2025-07-14T14:53:00Z,32.4,Sense 2
2025-07-14T14:54:00Z,32.4,Sense 2
2025-07-14T14:55:00Z,32.4,Sense 2
2025-07-14T14:56:00Z,32.3,Sense 2
2025-07-14T14:57:00Z,32.3,Sense 2
2025-07-14T14:58:00Z,32.3,Sense 2
2025-07-14T14:59:00Z,32.3,Sense 2
2025-07-14T15:00:00Z,32.3,Sense 2
2025-07-14T15:01:00Z,32.3,Sense 2
2025-07-14T15:02:00Z,32.3,Sense 2
2025-07-14T15:03:00Z,32.3,Sense 2
2025-07-14T15:04:00Z,32.3,Sense 2
2025-07-14T15:05:00Z,32.3,Sense 2
2025-07-14T15:06:00Z,32.3,Sense 2
2025-07-14T15:07:00Z,32.3,Sense 2
2025-07-14T15:08:00Z,32.3,Sense 2
2025-07-14T15:09:00Z,32.3,Sense 2
2025-07-14T15:10:00Z,32.3,Sense 2
2025-07-14T15:11:00Z,32.3,Sense 2
2025-07-14T15:12:00Z,32.3,Sense 2
2025-07-14T15:13:00Z,32.2,Sense 2
2025-07-14T15:14:00Z,32.2,Sense 2
2025-07-14T15:15:00Z,32.3,Sense 2
2025-07-14T15:16:00Z,32.5,Sense 2
2025-07-14T15:17:00Z,32.6,Sense 2
2025-07-14T15:18:00Z,32.7,Sense 2
2025-07-14T15:19:00Z,32.8,Sense 2
2025-07-14T15:20:00Z,32.9,Sense 2
2025-07-14T15:21:00Z,32.9,Sense 2
2025-07-14T15:22:00Z,33.0,Sense 2
2025-07-14T15:23:00Z,33.0,Sense 2
2025-07-14T15:24:00Z,33.0,Sense 2
2025-07-14T15:25:00Z,33.0,Sense 2
2025-07-14T15:26:00Z,33.0,Sense 2
2025-07-14T15:27:00Z,33.1,Sense 2
2025-07-14T15:28:00Z,33.0,Sense 2
2025-07-14T15:29:00Z,33.0,Sense 2
2025-07-14T15:30:00Z,33.1,Sense 2
2025-07-14T15:31:00Z,33.0,Sense 2
2025-07-14T15:32:00Z,33.0,Sense 2
2025-07-14T15:33:00Z,33.0,Sense 2
2025-07-14T15:34:00Z,33.0,Sense 2
2025-07-14T15:35:00Z,33.0,Sense 2
2025-07-14T15:36:00Z,33.0,Sense 2
2025-07-14T15:37:00Z,33.0,Sense 2
2025-07-14T15:38:00Z,32.9,Sense 2
2025-07-14T15:39:00Z,32.9,Sense 2
2025-07-14T15:40:00Z,32.9,Sense 2
2025-07-14T15:41:00Z,32.9,Sense 2
2025-07-14T15:42:00Z,32.9,Sense 2
2025-07-14T15:43:00Z,32.8,Sense 2
2025-07-14T15:44:00Z,32.8,Sense 2
2025-07-14T15:45:00Z,32.6,Sense 2
2025-07-14T15:46:00Z,32.5,Sense 2
2025-07-14T15:47:00Z,32.4,Sense 2
2025-07-14T15:48:00Z,32.2,Sense 2
2025-07-14T15:49:00Z,32.1,Sense 2
2025-07-14T15:50:00Z,32.0,Sense 2
2025-07-14T15:51:00Z,32.0,Sense 2
2025-07-14T15:52:00Z,31.8,Sense 2
2025-07-14T15:53:00Z,31.7,Sense 2
2025-07-14T15:54:00Z,31.7,Sense 2
2025-07-14T15:55:00Z,31.6,Sense 2
2025-07-14T15:56:00Z,31.6,Sense 2
2025-07-14T15:57:00Z,31.6,Sense 2
2025-07-14T15:58:00Z,31.6,Sense 2
2025-07-14T15:59:00Z,31.5,Sense 2
2025-07-14T16:00:00Z,31.5,Sense 2
2025-07-14T16:01:00Z,31.5,Sense 2
2025-07-14T16:02:00Z,31.5,Sense 2
2025-07-14T16:03:00Z,31.5,Sense 2
2025-07-14T16:04:00Z,31.5,Sense 2
2025-07-14T16:05:00Z,31.5,Sense 2
2025-07-14T16:06:00Z,31.5,Sense 2
2025-07-14T16:07:00Z,31.5,Sense 2
2025-07-14T16:08:00Z,31.5,Sense 2
2025-07-14T16:09:00Z,31.7,Sense 2
2025-07-14T16:10:00Z,31.8,Sense 2
2025-07-14T16:11:00Z,32.1,Sense 2
2025-07-14T16:12:00Z,32.3,Sense 2
2025-07-14T16:13:00Z,32.5,Sense 2
2025-07-14T16:14:00Z,32.6,Sense 2
2025-07-14T16:15:00Z,32.8,Sense 2
2025-07-14T16:16:00Z,32.9,Sense 2
2025-07-14T16:17:00Z,33.0,Sense 2
2025-07-14T16:18:00Z,33.0,Sense 2
2025-07-14T16:19:00Z,33.1,Sense 2
2025-07-14T16:20:00Z,33.2,Sense 2
2025-07-14T16:21:00Z,33.1,Sense 2
2025-07-14T16:22:00Z,33.0,Sense 2
2025-07-14T16:23:00Z,32.9,Sense 2
2025-07-14T16:24:00Z,32.9,Sense 2
2025-07-14T16:25:00Z,33.1,Sense 2
2025-07-14T16:26:00Z,33.2,Sense 2
2025-07-14T16:27:00Z,33.3,Sense 2
2025-07-14T16:28:00Z,33.4,Sense 2
2025-07-14T16:29:00Z,33.5,Sense 2
2025-07-14T16:30:00Z,33.5,Sense 2
2025-07-14T16:31:00Z,33.6,Sense 2
2025-07-14T16:32:00Z,33.7,Sense 2
2025-07-14T16:33:00Z,33.7,Sense 2
2025-07-14T16:34:00Z,33.6,Sense 2
2025-07-14T16:35:00Z,33.7,Sense 2
2025-07-14T16:36:00Z,33.8,Sense 2
2025-07-14T16:37:00Z,33.7,Sense 2
2025-07-14T16:38:00Z,33.7,Sense 2
2025-07-14T16:39:00Z,33.8,Sense 2
2025-07-14T16:40:00Z,33.8,Sense 2
2025-07-14T16:41:00Z,33.8,Sense 2
2025-07-14T16:42:00Z,33.8,Sense 2
2025-07-14T16:43:00Z,33.9,Sense 2
2025-07-14T16:44:00Z,33.9,Sense 2
2025-07-14T16:45:00Z,33.9,Sense 2
2025-07-14T16:46:00Z,33.9,Sense 2
2025-07-14T16:47:00Z,33.8,Sense 2
2025-07-14T16:48:00Z,33.8,Sense 2
2025-07-14T16:49:00Z,33.7,Sense 2
2025-07-14T16:50:00Z,33.7,Sense 2
2025-07-14T16:51:00Z,33.7,Sense 2
2025-07-14T16:52:00Z,33.7,Sense 2
2025-07-14T16:53:00Z,33.6,Sense 2
2025-07-14T16:54:00Z,33.7,Sense 2
2025-07-14T16:55:00Z,33.6,Sense 2
2025-07-14T16:56:00Z,33.6,Sense 2
2025-07-14T16:57:00Z,33.6,Sense 2
2025-07-14T16:58:00Z,33.6,Sense 2
2025-07-14T16:59:00Z,33.4,Sense 2
2025-07-14T17:00:00Z,33.2,Sense 2
2025-07-14T17:01:00Z,33.1,Sense 2
2025-07-14T17:02:00Z,33.0,Sense 2
2025-07-14T17:03:00Z,32.9,Sense 2
2025-07-14T17:04:00Z,32.8,Sense 2
2025-07-14T17:05:00Z,32.8,Sense 2
2025-07-14T17:06:00Z,32.7,Sense 2
2025-07-14T17:07:00Z,32.7,Sense 2
2025-07-14T17:08:00Z,32.6,Sense 2
2025-07-14T17:09:00Z,32.5,Sense 2
2025-07-14T17:10:00Z,32.4,Sense 2
2025-07-14T17:11:00Z,32.4,Sense 2
2025-07-14T17:12:00Z,32.3,Sense 2
2025-07-14T17:13:00Z,32.3,Sense 2
2025-07-14T17:14:00Z,32.3,Sense 2
2025-07-14T17:15:00Z,32.4,Sense 2
2025-07-14T17:16:00Z,32.4,Sense 2
2025-07-14T17:17:00Z,32.6,Sense 2
2025-07-14T17:18:00Z,32.7,Sense 2
2025-07-14T17:19:00Z,32.8,Sense 2
2025-07-14T17:20:00Z,32.9,Sense 2
2025-07-14T17:21:00Z,33.0,Sense 2
2025-07-14T17:22:00Z,33.1,Sense 2
2025-07-14T17:23:00Z,33.2,Sense 2
2025-07-14T17:24:00Z,33.2,Sense 2
2025-07-14T17:25:00Z,33.3,Sense 2
2025-07-14T17:26:00Z,33.3,Sense 2
2025-07-14T17:27:00Z,33.4,Sense 2
2025-07-14T17:28:00Z,33.4,Sense 2
2025-07-14T17:29:00Z,33.5,Sense 2
2025-07-14T17:30:00Z,33.5,Sense 2
2025-07-14T17:31:00Z,33.5,Sense 2
2025-07-14T17:32:00Z,33.5,Sense 2
2025-07-14T17:33:00Z,33.6,Sense 2
2025-07-14T17:34:00Z,33.5,Sense 2
2025-07-14T17:35:00Z,33.6,Sense 2
2025-07-14T17:36:00Z,33.6,Sense 2
