timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-08-22T00:09:05Z,3,2140,0,Sense 2
2025-08-22T00:09:06Z,2,1430,0,Sense 2
2025-08-22T00:09:07Z,3,2140,0,Sense 2
2025-08-22T00:09:08Z,3,2140,0,Sense 2
2025-08-22T00:09:09Z,3,2140,0,Sense 2
2025-08-22T00:09:10Z,3,2140,0,Sense 2
2025-08-22T00:09:11Z,2,1430,0,Sense 2
2025-08-22T00:09:12Z,3,2140,0,Sense 2
2025-08-22T00:09:13Z,1,710,0,Sense 2
2025-08-22T00:09:14Z,3,2140,0,Sense 2
2025-08-22T00:09:15Z,3,2150,0,Sense 2
2025-08-22T00:09:16Z,3,2140,0,Sense 2
2025-08-22T00:09:17Z,2,1430,0,Sense 2
2025-08-22T00:09:18Z,3,2140,0,Sense 2
2025-08-22T00:09:19Z,3,2140,0,Sense 2
2025-08-22T00:09:20Z,3,2140,0,Sense 2
2025-08-22T00:09:21Z,3,2140,0,Sense 2
2025-08-22T00:09:22Z,3,2140,0,Sense 2
2025-08-22T00:09:23Z,2,1430,0,Sense 2
2025-08-22T00:09:24Z,3,2140,0,Sense 2
2025-08-22T00:09:25Z,3,2140,0,Sense 2
2025-08-22T00:09:26Z,2,1430,0,Sense 2
2025-08-22T00:09:27Z,2,1430,0,Sense 2
2025-08-22T00:09:28Z,2,1430,0,Sense 2
2025-08-22T00:09:29Z,2,1430,0,Sense 2
2025-08-22T00:09:30Z,2,1430,0,Sense 2
2025-08-22T00:09:31Z,1,710,0,Sense 2
2025-08-22T00:09:32Z,2,1430,0,Sense 2
2025-08-22T00:09:33Z,2,1430,0,Sense 2
2025-08-22T00:09:34Z,2,1430,0,Sense 2
2025-08-22T00:09:35Z,2,1430,0,Sense 2
2025-08-22T00:09:36Z,2,1430,0,Sense 2
2025-08-22T00:09:37Z,1,710,0,Sense 2
2025-08-22T00:09:38Z,2,1430,0,Sense 2
2025-08-22T00:09:39Z,2,1430,0,Sense 2
2025-08-22T00:09:40Z,2,1430,0,Sense 2
2025-08-22T00:09:41Z,1,710,0,Sense 2
2025-08-22T00:09:42Z,2,1430,0,Sense 2
2025-08-22T00:09:43Z,2,1430,0,Sense 2
2025-08-22T00:09:44Z,2,1430,0,Sense 2
2025-08-22T00:09:45Z,2,1430,0,Sense 2
2025-08-22T00:09:46Z,1,710,0,Sense 2
2025-08-22T00:09:47Z,2,1430,0,Sense 2
2025-08-22T00:09:48Z,2,1430,0,Sense 2
2025-08-22T00:09:49Z,2,1430,0,Sense 2
2025-08-22T00:09:50Z,2,1430,0,Sense 2
2025-08-22T00:09:51Z,1,710,0,Sense 2
2025-08-22T00:09:52Z,2,1430,0,Sense 2
2025-08-22T00:09:53Z,2,1430,0,Sense 2
2025-08-22T00:09:54Z,2,1430,0,Sense 2
2025-08-22T00:09:55Z,2,1430,0,Sense 2
2025-08-22T00:09:56Z,1,710,0,Sense 2
2025-08-22T00:09:57Z,2,1430,0,Sense 2
2025-08-22T00:09:58Z,2,1430,0,Sense 2
2025-08-22T00:09:59Z,2,1430,0,Sense 2
2025-08-22T00:10:00Z,2,1430,0,Sense 2
2025-08-22T00:10:01Z,2,1430,0,Sense 2
2025-08-22T00:10:02Z,2,1430,0,Sense 2
2025-08-22T00:10:03Z,1,710,0,Sense 2
2025-08-22T00:10:04Z,2,1430,0,Sense 2
2025-08-22T00:10:05Z,2,1430,0,Sense 2
2025-08-22T00:10:06Z,2,1430,0,Sense 2
2025-08-22T00:10:07Z,1,710,0,Sense 2
2025-08-22T00:10:08Z,1,710,0,Sense 2
2025-08-22T00:10:09Z,2,1430,0,Sense 2
2025-08-22T00:10:10Z,1,710,0,Sense 2
2025-08-22T00:10:11Z,2,1430,0,Sense 2
2025-08-22T00:10:12Z,2,1430,0,Sense 2
2025-08-22T00:10:13Z,2,1430,0,Sense 2
2025-08-22T00:10:14Z,1,710,0,Sense 2
2025-08-22T00:10:15Z,2,1430,0,Sense 2
2025-08-22T00:10:16Z,2,1430,0,Sense 2
2025-08-22T00:10:17Z,2,1430,0,Sense 2
2025-08-22T00:10:18Z,2,1430,0,Sense 2
2025-08-22T00:10:19Z,2,1430,0,Sense 2
2025-08-22T00:10:20Z,2,1430,0,Sense 2
2025-08-22T00:10:21Z,2,1430,0,Sense 2
2025-08-22T00:10:22Z,1,710,0,Sense 2
2025-08-22T00:10:23Z,2,1430,0,Sense 2
2025-08-22T00:10:24Z,2,1430,0,Sense 2
2025-08-22T00:10:25Z,2,1430,0,Sense 2
2025-08-22T00:10:26Z,2,1430,0,Sense 2
2025-08-22T00:10:27Z,2,1430,0,Sense 2
2025-08-22T00:10:28Z,1,710,0,Sense 2
2025-08-22T00:10:29Z,2,1430,0,Sense 2
2025-08-22T00:10:30Z,2,1430,0,Sense 2
2025-08-22T00:10:31Z,2,1430,0,Sense 2
2025-08-22T00:10:32Z,2,1430,0,Sense 2
2025-08-22T00:10:33Z,1,710,0,Sense 2
2025-08-22T00:10:34Z,2,1430,0,Sense 2
2025-08-22T00:10:35Z,2,1430,0,Sense 2
2025-08-22T00:10:36Z,1,710,0,Sense 2
2025-08-22T00:10:37Z,1,710,0,Sense 2
2025-08-22T00:10:38Z,1,710,0,Sense 2
2025-08-22T00:10:39Z,1,710,0,Sense 2
2025-08-22T00:10:40Z,2,1430,0,Sense 2
2025-08-22T00:10:41Z,2,1430,0,Sense 2
2025-08-22T00:10:42Z,2,1430,0,Sense 2
2025-08-22T00:10:43Z,2,1430,0,Sense 2
2025-08-22T00:10:44Z,2,1430,0,Sense 2
2025-08-22T00:10:45Z,2,1430,0,Sense 2
2025-08-22T00:10:46Z,2,1430,0,Sense 2
2025-08-22T00:10:47Z,2,1430,0,Sense 2
2025-08-22T00:10:48Z,2,1430,0,Sense 2
2025-08-22T00:10:49Z,1,710,0,Sense 2
2025-08-22T00:10:50Z,2,1430,0,Sense 2
2025-08-22T00:10:51Z,2,1430,0,Sense 2
2025-08-22T00:10:52Z,2,1430,0,Sense 2
2025-08-22T00:10:53Z,2,1430,0,Sense 2
2025-08-22T00:10:54Z,2,1430,0,Sense 2
2025-08-22T00:10:55Z,2,1430,0,Sense 2
2025-08-22T00:10:56Z,2,1430,0,Sense 2
2025-08-22T00:10:58Z,1,710,0,Sense 2
2025-08-22T00:10:59Z,2,1430,0,Sense 2
2025-08-22T00:11:00Z,2,1430,0,Sense 2
2025-08-22T00:11:01Z,2,1430,0,Sense 2
2025-08-22T00:11:02Z,2,1430,0,Sense 2
2025-08-22T00:11:03Z,2,1420,0,Sense 2
2025-08-22T00:11:04Z,1,720,0,Sense 2
2025-08-22T00:11:05Z,2,1430,0,Sense 2
2025-08-22T00:11:06Z,1,710,0,Sense 2
2025-08-22T00:11:07Z,2,1430,0,Sense 2
2025-08-22T00:11:08Z,2,1430,0,Sense 2
2025-08-22T00:11:09Z,2,1430,0,Sense 2
2025-08-22T00:11:10Z,1,710,0,Sense 2
2025-08-22T00:11:11Z,3,2140,0,Sense 2
2025-08-22T00:11:12Z,1,710,0,Sense 2
2025-08-22T00:11:13Z,2,1430,0,Sense 2
2025-08-22T00:11:14Z,2,1430,0,Sense 2
2025-08-22T00:11:15Z,2,1430,0,Sense 2
2025-08-22T00:11:16Z,2,1430,0,Sense 2
2025-08-22T00:11:17Z,2,1430,0,Sense 2
2025-08-22T00:11:18Z,2,1430,0,Sense 2
2025-08-22T00:11:19Z,2,1430,0,Sense 2
2025-08-22T00:11:20Z,1,710,0,Sense 2
2025-08-22T00:11:21Z,2,1430,0,Sense 2
2025-08-22T00:11:22Z,2,1430,0,Sense 2
2025-08-22T00:11:23Z,2,1430,0,Sense 2
2025-08-22T00:11:24Z,1,710,0,Sense 2
2025-08-22T00:11:25Z,2,1430,0,Sense 2
2025-08-22T00:11:26Z,0,0,0,Sense 2
2025-08-22T00:11:27Z,0,0,0,Sense 2
2025-08-22T00:11:28Z,0,0,0,Sense 2
2025-08-22T00:11:29Z,0,0,0,Sense 2
2025-08-22T00:11:30Z,0,0,0,Sense 2
2025-08-22T00:11:31Z,0,0,0,Sense 2
2025-08-22T00:11:32Z,0,0,0,Sense 2
2025-08-22T00:11:33Z,0,0,0,Sense 2
2025-08-22T00:11:34Z,0,0,0,Sense 2
2025-08-22T00:11:35Z,0,0,0,Sense 2
2025-08-22T00:11:36Z,0,0,0,Sense 2
2025-08-22T00:11:37Z,0,0,0,Sense 2
2025-08-22T00:11:38Z,0,0,0,Sense 2
2025-08-22T00:11:39Z,0,0,0,Sense 2
2025-08-22T00:11:40Z,0,0,0,Sense 2
2025-08-22T00:11:41Z,0,0,0,Sense 2
2025-08-22T00:11:42Z,0,0,0,Sense 2
2025-08-22T00:11:43Z,0,0,0,Sense 2
2025-08-22T00:11:44Z,0,0,0,Sense 2
2025-08-22T00:11:45Z,0,0,0,Sense 2
2025-08-22T00:11:46Z,0,0,0,Sense 2
2025-08-22T00:11:47Z,0,0,0,Sense 2
2025-08-22T00:11:48Z,0,0,0,Sense 2
2025-08-22T00:11:49Z,0,0,0,Sense 2
2025-08-22T00:11:50Z,0,0,0,Sense 2
2025-08-22T00:11:51Z,0,0,0,Sense 2
2025-08-22T00:11:52Z,0,0,0,Sense 2
2025-08-22T00:11:53Z,0,0,0,Sense 2
2025-08-22T00:11:54Z,0,0,0,Sense 2
2025-08-22T00:11:55Z,0,0,0,Sense 2
