timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-08-28T03:12:11Z,1,0,0,Sense 2
2025-08-28T03:12:12Z,2,0,-1524,Sense 2
2025-08-28T03:12:13Z,2,180,-1524,Sense 2
2025-08-28T03:12:14Z,2,280,-609,Sense 2
2025-08-28T03:12:15Z,1,400,-1219,Sense 2
2025-08-28T03:12:16Z,2,550,-1524,Sense 2
2025-08-28T03:12:17Z,2,660,-914,Sense 2
2025-08-28T03:12:18Z,2,740,-1219,Sense 2
2025-08-28T03:12:19Z,2,810,-609,Sense 2
2025-08-28T03:12:20Z,2,890,-1524,Sense 2
2025-08-28T03:12:21Z,2,960,-914,Sense 2
2025-08-28T03:12:22Z,2,1010,-1828,Sense 2
2025-08-28T03:12:23Z,2,1290,-914,Sense 2
2025-08-28T03:12:24Z,2,1320,-609,Sense 2
2025-08-28T03:12:25Z,1,1300,-609,Sense 2
2025-08-28T03:12:26Z,1,1260,-1524,Sense 2
2025-08-28T03:12:27Z,4,1300,-914,Sense 2
2025-08-28T03:12:28Z,1,1290,-914,Sense 2
2025-08-28T03:12:29Z,2,1280,-609,Sense 2
2025-08-28T03:12:30Z,1,1280,-1524,Sense 2
2025-08-28T03:12:31Z,2,1310,-914,Sense 2
2025-08-28T03:12:32Z,2,1310,-1219,Sense 2
2025-08-28T03:12:33Z,2,1290,-914,Sense 2
2025-08-28T03:12:34Z,2,1290,-914,Sense 2
2025-08-28T03:12:35Z,2,1300,-1219,Sense 2
2025-08-28T03:12:36Z,2,1320,-609,Sense 2
2025-08-28T03:12:37Z,2,1350,-1219,Sense 2
2025-08-28T03:12:38Z,2,1350,-914,Sense 2
2025-08-28T03:12:39Z,2,1380,-914,Sense 2
2025-08-28T03:12:40Z,1,1370,-304,Sense 2
2025-08-28T03:12:41Z,2,1360,-914,Sense 2
2025-08-28T03:12:42Z,2,1370,-1219,Sense 2
2025-08-28T03:12:43Z,2,1360,-914,Sense 2
2025-08-28T03:12:44Z,2,1360,-914,Sense 2
2025-08-28T03:12:45Z,2,1370,-609,Sense 2
2025-08-28T03:12:46Z,2,1380,-914,Sense 2
2025-08-28T03:12:47Z,2,1370,-1524,Sense 2
2025-08-28T03:12:48Z,2,1380,304,Sense 2
2025-08-28T03:12:49Z,2,1370,-1219,Sense 2
2025-08-28T03:12:50Z,1,1380,-304,Sense 2
2025-08-28T03:12:51Z,2,1370,-1219,Sense 2
2025-08-28T03:12:52Z,2,1360,0,Sense 2
2025-08-28T03:12:53Z,2,1370,-609,Sense 2
2025-08-28T03:12:54Z,2,1360,-304,Sense 2
2025-08-28T03:12:55Z,2,1370,-609,Sense 2
2025-08-28T03:12:56Z,2,1370,-304,Sense 2
2025-08-28T03:12:57Z,2,1360,-1524,Sense 2
2025-08-28T03:12:58Z,2,1370,-609,Sense 2
2025-08-28T03:12:59Z,2,1370,-304,Sense 2
2025-08-28T03:13:00Z,0,1300,304,Sense 2
2025-08-28T03:13:01Z,3,1310,-609,Sense 2
2025-08-28T03:13:02Z,2,1300,-304,Sense 2
2025-08-28T03:13:03Z,2,1310,0,Sense 2
2025-08-28T03:13:04Z,2,1300,-609,Sense 2
2025-08-28T03:13:05Z,2,1370,-304,Sense 2
2025-08-28T03:13:06Z,2,1360,-609,Sense 2
2025-08-28T03:13:07Z,2,1370,-914,Sense 2
2025-08-28T03:13:08Z,2,1370,-1524,Sense 2
2025-08-28T03:13:09Z,2,1370,-1524,Sense 2
2025-08-28T03:13:10Z,1,1360,-914,Sense 2
2025-08-28T03:13:11Z,2,1370,-609,Sense 2
2025-08-28T03:13:12Z,2,1360,-1219,Sense 2
2025-08-28T03:13:13Z,2,1360,-1524,Sense 2
2025-08-28T03:13:14Z,2,1360,-609,Sense 2
2025-08-28T03:13:15Z,2,1360,-1219,Sense 2
2025-08-28T03:13:16Z,2,1360,-914,Sense 2
2025-08-28T03:13:17Z,2,1360,-1219,Sense 2
2025-08-28T03:13:18Z,2,1360,-1828,Sense 2
2025-08-28T03:13:19Z,2,1360,-1524,Sense 2
2025-08-28T03:13:20Z,2,1360,-914,Sense 2
2025-08-28T03:13:21Z,2,1370,-1524,Sense 2
2025-08-28T03:13:22Z,2,1370,-1219,Sense 2
2025-08-28T03:13:23Z,1,1360,-609,Sense 2
2025-08-28T03:13:24Z,2,1360,-1219,Sense 2
2025-08-28T03:13:25Z,1,1310,-1524,Sense 2
2025-08-28T03:13:26Z,2,1260,-304,Sense 2
2025-08-28T03:13:27Z,2,1220,-304,Sense 2
2025-08-28T03:13:28Z,2,1230,0,Sense 2
2025-08-28T03:13:29Z,2,1230,-304,Sense 2
2025-08-28T03:13:30Z,2,1230,-914,Sense 2
2025-08-28T03:13:31Z,1,1230,0,Sense 2
2025-08-28T03:13:32Z,2,1240,-304,Sense 2
2025-08-28T03:13:33Z,2,1230,0,Sense 2
2025-08-28T03:13:34Z,2,1240,-304,Sense 2
2025-08-28T03:13:35Z,2,1230,-304,Sense 2
2025-08-28T03:13:36Z,2,1240,-1219,Sense 2
2025-08-28T03:13:37Z,2,1250,0,Sense 2
2025-08-28T03:13:38Z,2,1250,-609,Sense 2
2025-08-28T03:13:39Z,2,1250,609,Sense 2
2025-08-28T03:13:40Z,2,1250,-914,Sense 2
2025-08-28T03:13:41Z,2,1260,0,Sense 2
2025-08-28T03:13:42Z,2,1270,304,Sense 2
2025-08-28T03:13:43Z,2,1260,0,Sense 2
2025-08-28T03:13:44Z,2,1280,-304,Sense 2
2025-08-28T03:13:45Z,2,1270,-609,Sense 2
2025-08-28T03:13:46Z,2,1280,-914,Sense 2
2025-08-28T03:13:47Z,2,1280,-914,Sense 2
2025-08-28T03:13:48Z,2,1280,-304,Sense 2
2025-08-28T03:13:49Z,1,1290,0,Sense 2
2025-08-28T03:13:50Z,2,1280,-609,Sense 2
2025-08-28T03:13:51Z,2,1280,609,Sense 2
2025-08-28T03:13:52Z,2,1280,609,Sense 2
2025-08-28T03:13:53Z,2,1280,-304,Sense 2
2025-08-28T03:13:54Z,2,1280,304,Sense 2
2025-08-28T03:13:55Z,2,1290,-304,Sense 2
2025-08-28T03:13:56Z,2,1290,-304,Sense 2
2025-08-28T03:13:57Z,2,1300,-1219,Sense 2
2025-08-28T03:13:58Z,2,1290,-1219,Sense 2
2025-08-28T03:13:59Z,2,1300,-609,Sense 2
2025-08-28T03:14:00Z,2,1300,-609,Sense 2
2025-08-28T03:14:01Z,2,1310,-304,Sense 2
2025-08-28T03:14:02Z,1,1300,0,Sense 2
2025-08-28T03:14:03Z,3,1310,609,Sense 2
2025-08-28T03:14:04Z,1,1300,-304,Sense 2
2025-08-28T03:14:05Z,2,1310,304,Sense 2
2025-08-28T03:14:06Z,2,1300,0,Sense 2
2025-08-28T03:14:07Z,2,1310,914,Sense 2
2025-08-28T03:14:08Z,2,1300,609,Sense 2
2025-08-28T03:14:09Z,2,1310,914,Sense 2
2025-08-28T03:14:10Z,2,1310,914,Sense 2
2025-08-28T03:14:11Z,2,1310,609,Sense 2
2025-08-28T03:14:12Z,2,1310,609,Sense 2
2025-08-28T03:14:13Z,2,1310,1219,Sense 2
2025-08-28T03:14:14Z,2,1320,1219,Sense 2
2025-08-28T03:14:15Z,2,1330,0,Sense 2
2025-08-28T03:14:16Z,2,1320,1219,Sense 2
2025-08-28T03:14:17Z,2,1320,1219,Sense 2
2025-08-28T03:14:18Z,1,1320,304,Sense 2
2025-08-28T03:14:19Z,2,1320,1219,Sense 2
2025-08-28T03:14:20Z,2,1320,304,Sense 2
2025-08-28T03:14:21Z,2,1320,-609,Sense 2
2025-08-28T03:14:22Z,2,1330,304,Sense 2
2025-08-28T03:14:23Z,2,1320,0,Sense 2
2025-08-28T03:14:24Z,2,1320,-1219,Sense 2
2025-08-28T03:14:25Z,2,1320,-304,Sense 2
2025-08-28T03:14:26Z,2,1330,-914,Sense 2
2025-08-28T03:14:27Z,2,1330,-304,Sense 2
2025-08-28T03:14:28Z,2,1330,304,Sense 2
2025-08-28T03:14:29Z,2,1330,0,Sense 2
2025-08-28T03:14:30Z,2,1340,0,Sense 2
2025-08-28T03:14:31Z,2,1340,-914,Sense 2
2025-08-28T03:14:32Z,1,1330,-609,Sense 2
2025-08-28T03:14:33Z,2,1340,-304,Sense 2
2025-08-28T03:14:34Z,2,1330,-1219,Sense 2
2025-08-28T03:14:35Z,2,1320,-1524,Sense 2
2025-08-28T03:14:36Z,2,1330,-304,Sense 2
2025-08-28T03:14:37Z,2,1330,-914,Sense 2
2025-08-28T03:14:38Z,2,1330,-914,Sense 2
2025-08-28T03:14:39Z,2,1330,-914,Sense 2
2025-08-28T03:14:40Z,2,1340,-609,Sense 2
2025-08-28T03:14:41Z,2,1340,-609,Sense 2
2025-08-28T03:14:42Z,2,1330,-609,Sense 2
2025-08-28T03:14:43Z,2,1350,-609,Sense 2
2025-08-28T03:14:44Z,2,1340,-1219,Sense 2
2025-08-28T03:14:45Z,2,1340,-609,Sense 2
2025-08-28T03:14:46Z,2,1350,-304,Sense 2
2025-08-28T03:14:47Z,2,1340,-914,Sense 2
2025-08-28T03:14:48Z,1,1340,914,Sense 2
2025-08-28T03:14:49Z,2,1350,-609,Sense 2
2025-08-28T03:14:50Z,2,1340,-304,Sense 2
2025-08-28T03:14:51Z,2,1340,-304,Sense 2
2025-08-28T03:14:52Z,2,1330,-609,Sense 2
2025-08-28T03:14:53Z,2,1340,-914,Sense 2
2025-08-28T03:14:54Z,2,1340,-304,Sense 2
2025-08-28T03:14:55Z,2,1350,-1219,Sense 2
2025-08-28T03:14:56Z,2,1340,-609,Sense 2
2025-08-28T03:14:57Z,2,1350,-914,Sense 2
2025-08-28T03:14:58Z,2,1350,-914,Sense 2
2025-08-28T03:14:59Z,2,1350,-914,Sense 2
2025-08-28T03:15:00Z,2,1350,-1828,Sense 2
2025-08-28T03:15:01Z,2,1350,-914,Sense 2
2025-08-28T03:15:02Z,2,1350,-1219,Sense 2
2025-08-28T03:15:03Z,2,1350,-1524,Sense 2
2025-08-28T03:15:04Z,2,1360,-914,Sense 2
2025-08-28T03:15:05Z,2,1360,-914,Sense 2
2025-08-28T03:15:06Z,2,1360,0,Sense 2
2025-08-28T03:15:07Z,1,1360,-609,Sense 2
2025-08-28T03:15:08Z,3,1360,-609,Sense 2
2025-08-28T03:15:09Z,1,1360,-914,Sense 2
2025-08-28T03:15:10Z,2,1350,-914,Sense 2
2025-08-28T03:15:11Z,2,1350,-914,Sense 2
2025-08-28T03:15:12Z,2,1360,-1219,Sense 2
2025-08-28T03:15:13Z,2,1350,-914,Sense 2
2025-08-28T03:15:14Z,2,1350,-1219,Sense 2
2025-08-28T03:15:15Z,2,1350,-914,Sense 2
2025-08-28T03:15:16Z,2,1350,-914,Sense 2
2025-08-28T03:15:17Z,2,1360,-1219,Sense 2
2025-08-28T03:15:18Z,2,1360,-609,Sense 2
2025-08-28T03:15:19Z,1,1350,-609,Sense 2
2025-08-28T03:15:20Z,3,1360,-304,Sense 2
2025-08-28T03:15:21Z,1,1350,-304,Sense 2
2025-08-28T03:15:22Z,2,1350,0,Sense 2
2025-08-28T03:15:23Z,2,1360,304,Sense 2
2025-08-28T03:15:24Z,2,1350,304,Sense 2
2025-08-28T03:15:25Z,2,1350,914,Sense 2
2025-08-28T03:15:26Z,2,1350,304,Sense 2
2025-08-28T03:15:27Z,2,1350,0,Sense 2
2025-08-28T03:15:28Z,2,1350,-304,Sense 2
2025-08-28T03:15:29Z,2,1360,0,Sense 2
2025-08-28T03:15:30Z,2,1350,304,Sense 2
2025-08-28T03:15:31Z,2,1360,304,Sense 2
2025-08-28T03:15:32Z,2,1360,304,Sense 2
2025-08-28T03:15:33Z,2,1360,304,Sense 2
2025-08-28T03:15:34Z,1,1360,304,Sense 2
2025-08-28T03:15:35Z,2,1360,609,Sense 2
2025-08-28T03:15:36Z,2,1350,0,Sense 2
2025-08-28T03:15:37Z,2,1350,609,Sense 2
2025-08-28T03:15:38Z,2,1360,914,Sense 2
2025-08-28T03:15:39Z,2,1350,609,Sense 2
2025-08-28T03:15:40Z,2,1350,0,Sense 2
2025-08-28T03:15:41Z,2,1350,914,Sense 2
2025-08-28T03:15:42Z,2,1350,304,Sense 2
