start time,end time,data source
2025-07-21T00:41:00Z,2025-07-21T00:52:00Z,Fitbit App
2025-07-21T02:04:00Z,2025-07-21T02:19:00Z,Fitbit App
2025-07-21T07:02:00Z,2025-07-21T07:28:00Z,Fitbit App
2025-07-21T07:40:00Z,2025-07-21T07:54:00Z,Fitbit App
2025-07-21T08:40:00Z,2025-07-21T08:53:00Z,Fitbit App
2025-07-21T09:11:00Z,2025-07-21T10:04:00Z,Fitbit App
2025-07-21T10:54:00Z,2025-07-21T11:42:00Z,Fitbit App
2025-07-21T11:46:00Z,2025-07-21T12:09:00Z,Fitbit App
2025-07-21T21:37:00Z,2025-07-21T22:08:00Z,Fitbit App
2025-07-21T22:09:00Z,2025-07-21T22:26:00Z,Fitbit App
2025-07-21T23:16:00Z,2025-07-21T23:37:00Z,Fitbit App
