start time,end time,data source
2025-07-28T00:43:00Z,2025-07-28T01:03:00Z,Fitbit App
2025-07-28T01:17:00Z,2025-07-28T01:42:00Z,Fitbit App
2025-07-28T02:03:00Z,2025-07-28T02:16:00Z,Fitbit App
2025-07-28T02:55:00Z,2025-07-28T03:09:00Z,Fitbit App
2025-07-28T05:09:00Z,2025-07-28T05:22:00Z,Fitbit App
2025-07-28T05:27:00Z,2025-07-28T05:57:00Z,Fitbit App
2025-07-28T05:59:00Z,2025-07-28T06:30:00Z,Fitbit App
2025-07-28T06:38:00Z,2025-07-28T07:17:00Z,Fitbit App
2025-07-28T07:18:00Z,2025-07-28T07:35:00Z,Fitbit App
2025-07-28T07:42:00Z,2025-07-28T09:04:00Z,Fitbit App
2025-07-28T09:20:00Z,2025-07-28T11:03:00Z,Fitbit App
2025-07-28T12:16:00Z,2025-07-28T13:34:00Z,Fitbit App
2025-07-28T13:57:00Z,2025-07-28T14:34:00Z,Fitbit App
2025-07-28T14:39:00Z,2025-07-28T16:16:00Z,Fitbit App
2025-07-28T16:17:00Z,2025-07-28T17:00:00Z,Fitbit App
2025-07-28T17:15:00Z,2025-07-28T17:58:00Z,Fitbit App
2025-07-28T18:10:00Z,2025-07-28T20:15:00Z,Fitbit App
2025-07-28T20:16:00Z,2025-07-28T22:01:00Z,Fitbit App
2025-07-28T22:50:00Z,2025-07-28T23:01:00Z,Fitbit App
2025-07-28T23:42:00Z,2025-07-29T00:02:00Z,Fitbit App
