start time,end time,data source
2025-07-20T02:31:00Z,2025-07-20T02:46:00Z,Fitbit App
2025-07-20T04:38:00Z,2025-07-20T04:49:00Z,Fitbit App
2025-07-20T06:11:00Z,2025-07-20T06:39:00Z,Fitbit App
2025-07-20T07:33:00Z,2025-07-20T07:43:00Z,Fitbit App
2025-07-20T07:51:00Z,2025-07-20T08:06:00Z,Fitbit App
2025-07-20T08:42:00Z,2025-07-20T09:01:00Z,Fitbit App
2025-07-20T09:10:00Z,2025-07-20T11:10:00Z,Fitbit App
2025-07-20T12:32:00Z,2025-07-20T15:10:00Z,Fitbit App
2025-07-20T21:39:00Z,2025-07-20T21:49:00Z,Fitbit App
2025-07-20T21:50:00Z,2025-07-20T22:13:00Z,Fitbit App
2025-07-20T22:22:00Z,2025-07-20T22:42:00Z,Fitbit App
2025-07-20T23:01:00Z,2025-07-20T23:12:00Z,Fitbit App
2025-07-20T23:13:00Z,2025-07-20T23:23:00Z,Fitbit App
2025-07-20T23:24:00Z,2025-07-20T23:49:00Z,Fitbit App
