timestamp,lap time,stroke count,stroke type,data source
2025-08-13T00:59:14Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-13T02:06:24Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-13T06:25:58Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-13T09:49:48Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-13T10:07:03Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-13T11:15:38Z,00:00:11.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-13T11:43:21Z,00:00:07.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-13T12:29:29Z,00:00:07.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-13T12:41:46Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-14T02:00:02Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-14T05:29:37Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-14T09:36:02Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-14T12:19:58Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-15T00:10:07Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-15T00:10:32Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-15T00:36:51Z,00:00:22.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-15T10:29:46Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-15T12:38:35Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-15T15:07:16Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-15T23:53:16Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-16T05:27:21Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-16T05:28:10Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-16T09:07:33Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-16T09:08:11Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-16T09:18:58Z,00:00:21.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-16T09:19:27Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-16T09:21:22Z,00:00:31.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-16T09:22:07Z,00:00:43.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-16T09:23:22Z,00:00:27.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-16T09:27:00Z,00:00:48.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-17T07:33:00Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-17T08:20:07Z,00:00:20.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
2025-08-17T22:58:29Z,00:00:15.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Sense 2
