timestamp,average percentage,lower bound percentage,upper bound percentage,baseline percentage,standard deviation percentage,data source
2025-07-14T00:00:00Z,94.9,92.1,100.0,0.0,0.0,Sense 2
2025-07-15T00:00:00Z,94.8,92.0,97.7,0.0,0.0,Sense 2
2025-07-16T00:00:00Z,94.1,93.1,94.8,0.0,0.0,Sense 2
2025-07-17T00:00:00Z,93.3,90.2,96.0,0.0,0.0,Sense 2
2025-07-18T00:00:00Z,93.7,89.9,97.1,0.0,0.0,Sense 2
2025-07-19T00:00:00Z,96.2,91.8,99.5,0.0,0.0,Sense 2
2025-07-20T00:00:00Z,94.2,90.5,96.2,94.5,1.0,Sense 2
2025-07-26T00:00:00Z,93.1,90.5,95.0,94.3,0.9,Sense 2
2025-07-28T00:00:00Z,96.2,92.7,100.0,94.5,1.1,Sense 2
2025-07-29T00:00:00Z,94.1,91.1,96.3,94.5,1.1,Sense 2
