start time,end time,data source
2025-07-17T00:07:00Z,2025-07-17T00:23:00Z,Fitbit App
2025-07-17T06:04:00Z,2025-07-17T06:20:00Z,Fitbit App
2025-07-17T06:26:00Z,2025-07-17T07:11:00Z,Fitbit App
2025-07-17T08:50:00Z,2025-07-17T10:20:00Z,Fitbit App
2025-07-17T10:21:00Z,2025-07-17T10:46:00Z,Fitbit App
2025-07-17T10:51:00Z,2025-07-17T11:15:00Z,Fitbit App
2025-07-17T12:14:00Z,2025-07-17T13:33:00Z,Fitbit App
2025-07-17T13:34:00Z,2025-07-17T14:14:00Z,Fitbit App
2025-07-17T21:50:00Z,2025-07-17T22:03:00Z,Fitbit App
2025-07-17T22:04:00Z,2025-07-17T22:26:00Z,Fitbit App
2025-07-17T23:19:00Z,2025-07-17T23:33:00Z,Fitbit App
