start time,end time,data source
2025-08-28T01:45:00Z,2025-08-28T02:17:00Z,Fitbit App
2025-08-28T02:37:00Z,2025-08-28T03:00:00Z,Fitbit App
2025-08-28T03:26:00Z,2025-08-28T03:38:00Z,Fitbit App
2025-08-28T04:01:00Z,2025-08-28T05:11:00Z,Fitbit App
2025-08-28T05:17:00Z,2025-08-28T05:51:00Z,Fitbit App
2025-08-28T06:38:00Z,2025-08-28T07:22:00Z,Fitbit App
2025-08-28T07:23:00Z,2025-08-28T09:11:00Z,Fitbit App
2025-08-28T09:23:00Z,2025-08-28T10:32:00Z,Fitbit App
2025-08-28T10:33:00Z,2025-08-28T10:46:00Z,Fitbit App
2025-08-28T11:09:00Z,2025-08-28T12:04:00Z,Fitbit App
2025-08-28T12:18:00Z,2025-08-28T12:43:00Z,Fitbit App
2025-08-28T12:45:00Z,2025-08-28T13:13:00Z,Fitbit App
2025-08-28T13:14:00Z,2025-08-28T13:24:00Z,Fitbit App
2025-08-28T13:36:00Z,2025-08-28T13:46:00Z,Fitbit App
2025-08-28T13:48:00Z,2025-08-28T13:58:00Z,Fitbit App
2025-08-28T15:00:00Z,2025-08-28T16:50:00Z,Fitbit App
2025-08-28T17:00:00Z,2025-08-28T18:54:00Z,Fitbit App
