timestamp,temperature celsius,data source
2025-08-19T13:19:00Z,34.6,Sense 2
2025-08-19T13:20:00Z,34.5,Sense 2
2025-08-19T13:21:00Z,34.2,Sense 2
2025-08-19T13:22:00Z,33.8,Sense 2
2025-08-19T13:23:00Z,33.4,Sense 2
2025-08-19T13:24:00Z,32.6,Sense 2
2025-08-19T13:25:00Z,32.8,Sense 2
2025-08-19T13:26:00Z,32.9,Sense 2
2025-08-19T13:27:00Z,32.7,Sense 2
2025-08-19T13:28:00Z,32.7,Sense 2
2025-08-19T13:29:00Z,32.7,Sense 2
2025-08-19T13:30:00Z,32.6,Sense 2
2025-08-19T13:31:00Z,32.8,Sense 2
2025-08-19T13:32:00Z,32.9,Sense 2
2025-08-19T13:33:00Z,33.0,Sense 2
2025-08-19T13:34:00Z,33.1,Sense 2
2025-08-19T13:35:00Z,33.2,Sense 2
2025-08-19T13:36:00Z,33.3,Sense 2
2025-08-19T13:37:00Z,33.4,Sense 2
2025-08-19T13:38:00Z,33.3,Sense 2
2025-08-19T13:39:00Z,33.4,Sense 2
2025-08-19T13:40:00Z,33.5,Sense 2
2025-08-19T13:41:00Z,33.4,Sense 2
2025-08-19T13:42:00Z,33.4,Sense 2
2025-08-19T13:43:00Z,33.3,Sense 2
2025-08-19T13:44:00Z,33.4,Sense 2
2025-08-19T13:45:00Z,33.4,Sense 2
2025-08-19T13:46:00Z,33.4,Sense 2
2025-08-19T13:47:00Z,33.4,Sense 2
2025-08-19T13:48:00Z,33.4,Sense 2
2025-08-19T13:49:00Z,33.5,Sense 2
2025-08-19T13:50:00Z,33.5,Sense 2
2025-08-19T13:51:00Z,33.7,Sense 2
2025-08-19T13:52:00Z,33.9,Sense 2
2025-08-19T13:53:00Z,33.9,Sense 2
2025-08-19T13:54:00Z,33.9,Sense 2
2025-08-19T13:55:00Z,33.9,Sense 2
2025-08-19T13:56:00Z,34.0,Sense 2
2025-08-19T13:57:00Z,34.1,Sense 2
2025-08-19T13:58:00Z,34.0,Sense 2
2025-08-19T13:59:00Z,34.0,Sense 2
2025-08-19T14:00:00Z,34.2,Sense 2
2025-08-19T14:01:00Z,34.2,Sense 2
2025-08-19T14:02:00Z,34.3,Sense 2
2025-08-19T14:03:00Z,34.3,Sense 2
2025-08-19T14:04:00Z,34.2,Sense 2
2025-08-19T14:05:00Z,34.0,Sense 2
2025-08-19T14:06:00Z,34.0,Sense 2
2025-08-19T14:07:00Z,33.8,Sense 2
2025-08-19T14:08:00Z,33.7,Sense 2
2025-08-19T14:09:00Z,33.8,Sense 2
2025-08-19T14:10:00Z,33.7,Sense 2
2025-08-19T14:11:00Z,33.6,Sense 2
2025-08-19T14:12:00Z,33.8,Sense 2
2025-08-19T14:13:00Z,33.8,Sense 2
2025-08-19T14:14:00Z,33.5,Sense 2
2025-08-19T14:15:00Z,33.6,Sense 2
2025-08-19T14:16:00Z,33.7,Sense 2
2025-08-19T14:17:00Z,33.7,Sense 2
2025-08-19T14:18:00Z,33.6,Sense 2
2025-08-19T14:19:00Z,33.5,Sense 2
2025-08-19T14:20:00Z,33.5,Sense 2
2025-08-19T14:21:00Z,33.4,Sense 2
2025-08-19T14:22:00Z,33.3,Sense 2
2025-08-19T14:23:00Z,33.2,Sense 2
2025-08-19T14:24:00Z,33.1,Sense 2
2025-08-19T14:25:00Z,33.2,Sense 2
2025-08-19T14:26:00Z,33.0,Sense 2
2025-08-19T14:27:00Z,33.1,Sense 2
2025-08-19T14:28:00Z,32.9,Sense 2
