start time,end time,data source
2025-08-02T00:25:00Z,2025-08-02T02:29:00Z,Fitbit App
2025-08-02T02:59:00Z,2025-08-02T03:13:00Z,Fitbit App
2025-08-02T03:58:00Z,2025-08-02T04:28:00Z,Fitbit App
2025-08-02T04:29:00Z,2025-08-02T04:40:00Z,Fitbit App
2025-08-02T04:43:00Z,2025-08-02T05:18:00Z,Fitbit App
2025-08-02T06:49:00Z,2025-08-02T07:32:00Z,Fitbit App
2025-08-02T07:33:00Z,2025-08-02T07:49:00Z,Fitbit App
2025-08-02T07:51:00Z,2025-08-02T13:17:00Z,Fitbit App
2025-08-02T13:49:00Z,2025-08-02T14:33:00Z,Fitbit App
2025-08-02T14:45:00Z,2025-08-02T15:03:00Z,Fitbit App
2025-08-02T15:53:00Z,2025-08-02T16:17:00Z,Fitbit App
2025-08-02T16:28:00Z,2025-08-02T17:00:00Z,Fitbit App
2025-08-02T17:00:00Z,2025-08-02T17:36:00Z,Fitbit App
