timestamp,distance,data source
2025-08-01T11:51:00Z,7.80,Sense 2
2025-08-01T12:02:00Z,5.70,Sense 2
2025-08-01T12:09:00Z,13.50,Sense 2
2025-08-01T12:10:00Z,5.00,Sense 2
2025-08-01T12:16:00Z,6.40,Sense 2
2025-08-01T12:52:00Z,8.50,Sense 2
2025-08-01T13:21:00Z,7.10,Sense 2
2025-08-01T13:52:00Z,6.40,Sense 2
2025-08-01T13:58:00Z,34.90,Sense 2
2025-08-01T14:01:00Z,6.40,Sense 2
2025-08-01T14:02:00Z,11.40,Sense 2
2025-08-01T14:04:00Z,5.00,Sense 2
2025-08-01T14:05:00Z,9.20,Sense 2
2025-08-01T14:06:00Z,57.70,Sense 2
2025-08-01T14:07:00Z,60.60,Sense 2
2025-08-01T14:08:00Z,73.50,Sense 2
2025-08-01T14:09:00Z,1.40,Sense 2
2025-08-01T14:10:00Z,46.30,Fitbit App
2025-08-01T14:11:00Z,41.60,Fitbit App
2025-08-01T14:12:00Z,22.14,Fitbit App
2025-08-01T14:13:00Z,27.51,Fitbit App
2025-08-01T14:14:00Z,17.45,Fitbit App
2025-08-01T14:15:00Z,20.80,Fitbit App
2025-08-01T14:16:00Z,10.74,Fitbit App
2025-08-01T15:02:00Z,4.20,Sense 2
2025-08-01T15:05:00Z,11.40,Sense 2
2025-08-01T15:07:00Z,4.20,Sense 2
2025-08-01T15:08:00Z,17.10,Sense 2
2025-08-01T15:09:00Z,26.40,Sense 2
2025-08-01T15:12:00Z,12.10,Sense 2
2025-08-01T15:14:00Z,4.20,Sense 2
2025-08-01T15:17:00Z,9.90,Sense 2
2025-08-01T15:19:00Z,10.70,Sense 2
2025-08-01T15:20:00Z,17.10,Sense 2
2025-08-01T15:22:00Z,7.10,Sense 2
2025-08-01T15:25:00Z,13.50,Sense 2
2025-08-01T15:27:00Z,16.30,Sense 2
2025-08-01T15:28:00Z,10.70,Sense 2
2025-08-01T15:29:00Z,6.40,Sense 2
2025-08-01T15:30:00Z,12.80,Sense 2
2025-08-01T15:31:00Z,27.80,Sense 2
2025-08-01T15:32:00Z,25.60,Sense 2
2025-08-01T15:33:00Z,15.70,Sense 2
2025-08-01T15:34:00Z,15.60,Sense 2
2025-08-01T15:36:00Z,19.20,Sense 2
2025-08-01T15:37:00Z,7.10,Sense 2
2025-08-01T15:38:00Z,6.40,Sense 2
2025-08-01T15:44:00Z,5.70,Sense 2
2025-08-01T15:45:00Z,10.70,Sense 2
2025-08-01T15:46:00Z,7.80,Sense 2
2025-08-01T15:48:00Z,25.60,Sense 2
2025-08-01T15:49:00Z,44.20,Sense 2
2025-08-01T15:50:00Z,49.90,Sense 2
2025-08-01T15:51:00Z,52.70,Sense 2
2025-08-01T15:52:00Z,62.80,Sense 2
2025-08-01T15:53:00Z,53.40,Sense 2
2025-08-01T15:54:00Z,23.50,Sense 2
2025-08-01T15:55:00Z,61.40,Sense 2
2025-08-01T15:56:00Z,55.60,Sense 2
2025-08-01T15:57:00Z,10.00,Sense 2
