start time,end time,data source
2025-08-25T00:28:00Z,2025-08-25T01:02:00Z,Fitbit App
2025-08-25T01:04:00Z,2025-08-25T03:06:00Z,Fitbit App
2025-08-25T04:49:00Z,2025-08-25T06:12:00Z,Fitbit App
2025-08-25T06:14:00Z,2025-08-25T07:54:00Z,Fitbit App
2025-08-25T07:55:00Z,2025-08-25T08:10:00Z,Fitbit App
2025-08-25T08:59:00Z,2025-08-25T10:03:00Z,Fitbit App
2025-08-25T10:05:00Z,2025-08-25T10:24:00Z,Fitbit App
2025-08-25T10:34:00Z,2025-08-25T11:33:00Z,Fitbit App
2025-08-25T11:34:00Z,2025-08-25T11:53:00Z,Fitbit App
2025-08-25T13:29:00Z,2025-08-25T15:06:00Z,Fitbit App
