timestamp,level,data source
2025-07-14T12:26:00Z,SEDENTARY,Fitbit App
2025-07-14T12:27:00Z,SEDENTARY,Fitbit App
2025-07-14T12:28:00Z,SEDENTARY,Fitbit App
2025-07-14T12:29:00Z,SEDENTARY,Fitbit App
2025-07-14T12:30:00Z,SEDENTARY,Fitbit App
2025-07-14T12:31:00Z,SEDENTARY,Fitbit App
2025-07-14T12:32:00Z,SEDENTARY,Fitbit App
2025-07-14T12:33:00Z,SEDENTARY,Fitbit App
2025-07-14T12:34:00Z,SEDENTARY,Fitbit App
2025-07-14T12:35:00Z,SEDENTARY,Fitbit App
2025-07-14T12:36:00Z,SEDENTARY,Fitbit App
2025-07-14T12:37:00Z,SEDENTARY,Fitbit App
2025-07-14T12:38:00Z,SEDENTARY,Fitbit App
2025-07-14T12:39:00Z,SEDENTARY,Fitbit App
2025-07-14T12:40:00Z,SEDENTARY,Fitbit App
2025-07-14T12:41:00Z,SEDENTARY,Fitbit App
2025-07-14T12:42:00Z,SEDENTARY,Fitbit App
2025-07-14T12:43:00Z,SEDENTARY,Fitbit App
2025-07-14T12:44:00Z,SEDENTARY,Fitbit App
2025-07-14T12:45:00Z,SEDENTARY,Fitbit App
2025-07-14T12:46:00Z,SEDENTARY,Fitbit App
2025-07-14T12:47:00Z,SEDENTARY,Fitbit App
2025-07-14T12:48:00Z,SEDENTARY,Fitbit App
2025-07-14T12:49:00Z,SEDENTARY,Fitbit App
2025-07-14T12:50:00Z,SEDENTARY,Fitbit App
2025-07-14T12:51:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-07-14T12:52:00Z,SEDENTARY,Fitbit App
2025-07-14T12:53:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-07-14T12:54:00Z,SEDENTARY,Fitbit App
2025-07-14T12:55:00Z,SEDENTARY,Fitbit App
2025-07-14T12:56:00Z,SEDENTARY,Fitbit App
2025-07-14T12:57:00Z,SEDENTARY,Fitbit App
2025-07-14T12:58:00Z,SEDENTARY,Fitbit App
2025-07-14T12:59:00Z,SEDENTARY,Fitbit App
2025-07-14T13:18:00Z,SEDENTARY,Fitbit App
2025-07-14T13:21:00Z,SEDENTARY,Fitbit App
2025-07-14T13:28:00Z,SEDENTARY,Fitbit App
2025-07-14T13:29:00Z,SEDENTARY,Fitbit App
2025-07-14T13:30:00Z,SEDENTARY,Fitbit App
2025-07-14T13:31:00Z,SEDENTARY,Fitbit App
2025-07-14T13:32:00Z,SEDENTARY,Fitbit App
2025-07-14T13:33:00Z,SEDENTARY,Fitbit App
2025-07-14T13:34:00Z,SEDENTARY,Fitbit App
2025-07-14T13:35:00Z,SEDENTARY,Fitbit App
2025-07-14T13:36:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-07-14T13:37:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-07-14T13:38:00Z,SEDENTARY,Fitbit App
2025-07-14T13:39:00Z,SEDENTARY,Fitbit App
2025-07-14T13:40:00Z,SEDENTARY,Fitbit App
2025-07-14T13:41:00Z,SEDENTARY,Fitbit App
2025-07-14T13:42:00Z,SEDENTARY,Fitbit App
2025-07-14T13:43:00Z,SEDENTARY,Fitbit App
2025-07-14T13:44:00Z,SEDENTARY,Fitbit App
2025-07-14T13:45:00Z,SEDENTARY,Fitbit App
2025-07-14T13:46:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-07-14T13:47:00Z,SEDENTARY,Fitbit App
2025-07-14T13:48:00Z,SEDENTARY,Fitbit App
2025-07-14T13:49:00Z,SEDENTARY,Fitbit App
2025-07-14T14:03:00Z,SEDENTARY,Fitbit App
2025-07-14T14:04:00Z,SEDENTARY,Fitbit App
2025-07-14T14:05:00Z,SEDENTARY,Fitbit App
2025-07-14T14:31:00Z,SEDENTARY,Fitbit App
2025-07-14T14:33:00Z,SEDENTARY,Fitbit App
2025-07-14T15:12:00Z,SEDENTARY,Fitbit App
2025-07-14T15:13:00Z,SEDENTARY,Fitbit App
2025-07-14T15:36:00Z,SEDENTARY,Fitbit App
2025-07-14T15:43:00Z,SEDENTARY,Fitbit App
2025-07-14T15:44:00Z,SEDENTARY,Fitbit App
2025-07-14T16:08:00Z,SEDENTARY,Fitbit App
2025-07-14T16:11:00Z,SEDENTARY,Fitbit App
2025-07-14T16:19:00Z,SEDENTARY,Fitbit App
2025-07-14T16:22:00Z,SEDENTARY,Fitbit App
2025-07-14T17:06:00Z,SEDENTARY,Fitbit App
2025-07-14T17:14:00Z,SEDENTARY,Fitbit App
2025-07-14T18:02:00Z,SEDENTARY,Fitbit App
2025-07-14T18:49:00Z,SEDENTARY,Fitbit App
2025-07-14T19:10:00Z,SEDENTARY,Fitbit App
2025-07-14T19:27:00Z,SEDENTARY,Fitbit App
2025-07-14T20:24:00Z,SEDENTARY,Fitbit App
2025-07-14T21:27:00Z,SEDENTARY,Fitbit App
2025-07-14T21:28:00Z,SEDENTARY,Fitbit App
2025-07-14T21:35:00Z,SEDENTARY,Fitbit App
2025-07-14T21:36:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-07-14T21:42:00Z,SEDENTARY,Fitbit App
2025-07-14T21:47:00Z,SEDENTARY,Fitbit App
2025-07-14T21:59:00Z,SEDENTARY,Fitbit App
2025-07-14T22:00:00Z,SEDENTARY,Fitbit App
2025-07-14T22:02:00Z,SEDENTARY,Fitbit App
2025-07-14T22:03:00Z,SEDENTARY,Fitbit App
2025-07-14T22:23:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-07-14T22:24:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-07-14T22:25:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-07-14T22:26:00Z,SEDENTARY,Fitbit App
2025-07-14T22:27:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-07-14T22:28:00Z,SEDENTARY,Fitbit App
2025-07-14T22:29:00Z,SEDENTARY,Fitbit App
2025-07-14T22:30:00Z,SEDENTARY,Fitbit App
