start time,end time,data source
2025-08-03T00:40:00Z,2025-08-03T01:58:00Z,Fitbit App
2025-08-03T02:28:00Z,2025-08-03T02:52:00Z,Fitbit App
2025-08-03T03:36:00Z,2025-08-03T03:46:00Z,Fitbit App
2025-08-03T04:41:00Z,2025-08-03T05:01:00Z,Fitbit App
2025-08-03T05:03:00Z,2025-08-03T06:52:00Z,Fitbit App
2025-08-03T07:24:00Z,2025-08-03T10:04:00Z,Fitbit App
2025-08-03T10:31:00Z,2025-08-03T11:32:00Z,Fitbit App
2025-08-03T11:36:00Z,2025-08-03T13:26:00Z,Fitbit App
2025-08-03T13:35:00Z,2025-08-03T14:14:00Z,Fitbit App
2025-08-03T14:42:00Z,2025-08-03T15:02:00Z,Fitbit App
2025-08-03T15:23:00Z,2025-08-03T15:37:00Z,Fitbit App
2025-08-03T15:45:00Z,2025-08-03T17:00:00Z,Fitbit App
2025-08-03T17:00:00Z,2025-08-03T17:16:00Z,Fitbit App
2025-08-03T22:37:00Z,2025-08-03T22:51:00Z,Fitbit App
2025-08-03T23:35:00Z,2025-08-04T01:37:00Z,Fitbit App
