start time,end time,data source
2025-08-29T02:17:00Z,2025-08-29T02:36:00Z,Fitbit App
2025-08-29T03:54:00Z,2025-08-29T04:13:00Z,Fitbit App
2025-08-29T04:18:00Z,2025-08-29T04:36:00Z,Fitbit App
2025-08-29T04:37:00Z,2025-08-29T04:54:00Z,Fitbit App
2025-08-29T04:56:00Z,2025-08-29T05:32:00Z,Fitbit App
2025-08-29T06:28:00Z,2025-08-29T07:26:00Z,Fitbit App
2025-08-29T07:51:00Z,2025-08-29T08:09:00Z,Fitbit App
2025-08-29T08:16:00Z,2025-08-29T08:54:00Z,Fitbit App
2025-08-29T09:43:00Z,2025-08-29T10:14:00Z,Fitbit App
2025-08-29T10:17:00Z,2025-08-29T10:27:00Z,Fitbit App
2025-08-29T10:28:00Z,2025-08-29T11:25:00Z,Fitbit App
2025-08-29T12:14:00Z,2025-08-29T12:24:00Z,Fitbit App
2025-08-29T12:28:00Z,2025-08-29T12:38:00Z,Fitbit App
2025-08-29T12:40:00Z,2025-08-29T12:58:00Z,Fitbit App
2025-08-29T13:20:00Z,2025-08-29T13:54:00Z,Fitbit App
2025-08-29T13:55:00Z,2025-08-29T14:08:00Z,Fitbit App
2025-08-29T18:35:00Z,2025-08-29T19:08:00Z,Fitbit App
2025-08-29T19:22:00Z,2025-08-29T20:29:00Z,Fitbit App
