start time,end time,data source
2025-07-18T00:02:00Z,2025-07-18T00:15:00Z,Fitbit App
2025-07-18T00:32:00Z,2025-07-18T00:48:00Z,Fitbit App
2025-07-18T01:00:00Z,2025-07-18T01:16:00Z,Fitbit App
2025-07-18T05:32:00Z,2025-07-18T05:59:00Z,Fitbit App
2025-07-18T06:21:00Z,2025-07-18T06:37:00Z,Fitbit App
2025-07-18T07:04:00Z,2025-07-18T07:21:00Z,Fitbit App
2025-07-18T07:29:00Z,2025-07-18T07:54:00Z,Fitbit App
2025-07-18T07:55:00Z,2025-07-18T08:24:00Z,Fitbit App
2025-07-18T08:25:00Z,2025-07-18T08:36:00Z,Fitbit App
2025-07-18T08:37:00Z,2025-07-18T09:14:00Z,Fitbit App
2025-07-18T09:49:00Z,2025-07-18T10:11:00Z,Fitbit App
2025-07-18T10:33:00Z,2025-07-18T11:15:00Z,Fitbit App
2025-07-18T11:17:00Z,2025-07-18T11:27:00Z,Fitbit App
2025-07-18T11:33:00Z,2025-07-18T13:07:00Z,Fitbit App
2025-07-18T13:11:00Z,2025-07-18T13:30:00Z,Fitbit App
2025-07-18T20:32:00Z,2025-07-18T20:46:00Z,Fitbit App
2025-07-18T22:00:00Z,2025-07-18T22:39:00Z,Fitbit App
2025-07-18T23:21:00Z,2025-07-18T23:42:00Z,Fitbit App
