start time,end time,data source
2025-07-29T00:21:00Z,2025-07-29T00:35:00Z,Fitbit App
2025-07-29T02:26:00Z,2025-07-29T02:44:00Z,Fitbit App
2025-07-29T03:47:00Z,2025-07-29T04:06:00Z,Fitbit App
2025-07-29T05:28:00Z,2025-07-29T05:54:00Z,Fitbit App
2025-07-29T06:09:00Z,2025-07-29T07:05:00Z,Fitbit App
2025-07-29T08:03:00Z,2025-07-29T08:40:00Z,Fitbit App
2025-07-29T09:11:00Z,2025-07-29T09:25:00Z,Fitbit App
2025-07-29T09:29:00Z,2025-07-29T09:39:00Z,Fitbit App
2025-07-29T09:50:00Z,2025-07-29T11:13:00Z,Fitbit App
2025-07-29T11:57:00Z,2025-07-29T12:32:00Z,Fitbit App
2025-07-29T12:33:00Z,2025-07-29T13:01:00Z,Fitbit App
2025-07-29T13:02:00Z,2025-07-29T13:21:00Z,Fitbit App
2025-07-29T13:44:00Z,2025-07-29T13:56:00Z,Fitbit App
2025-07-29T14:40:00Z,2025-07-29T15:10:00Z,Fitbit App
2025-07-29T22:44:00Z,2025-07-29T23:15:00Z,Fitbit App
2025-07-29T23:43:00Z,2025-07-30T00:18:00Z,Fitbit App
