start time,end time,data source
2025-08-12T00:31:00Z,2025-08-12T00:55:00Z,Fitbit App
2025-08-12T01:11:00Z,2025-08-12T01:38:00Z,Fitbit App
2025-08-12T01:42:00Z,2025-08-12T02:01:00Z,Fitbit App
2025-08-12T02:02:00Z,2025-08-12T02:29:00Z,Fitbit App
2025-08-12T02:30:00Z,2025-08-12T02:43:00Z,Fitbit App
2025-08-12T03:02:00Z,2025-08-12T03:24:00Z,Fitbit App
2025-08-12T03:25:00Z,2025-08-12T04:11:00Z,Fitbit App
2025-08-12T04:26:00Z,2025-08-12T05:31:00Z,Fitbit App
2025-08-12T05:40:00Z,2025-08-12T06:33:00Z,Fitbit App
2025-08-12T06:50:00Z,2025-08-12T07:37:00Z,Fitbit App
2025-08-12T07:58:00Z,2025-08-12T08:19:00Z,Fitbit App
2025-08-12T09:45:00Z,2025-08-12T09:59:00Z,Fitbit App
2025-08-12T10:00:00Z,2025-08-12T10:15:00Z,Fitbit App
2025-08-12T10:24:00Z,2025-08-12T10:37:00Z,Fitbit App
2025-08-12T10:58:00Z,2025-08-12T12:04:00Z,Fitbit App
2025-08-12T12:15:00Z,2025-08-12T12:33:00Z,Fitbit App
2025-08-12T12:34:00Z,2025-08-12T13:43:00Z,Fitbit App
2025-08-12T22:37:00Z,2025-08-12T22:55:00Z,Fitbit App
2025-08-12T23:00:00Z,2025-08-12T23:47:00Z,Fitbit App
