value_time,setting_name,setting_value
2025-10-09 14:29:17+0000,body temperature measurement unit,en us
2025-10-09 14:29:17+0000,glucose measurement unit,mg dl
2025-10-09 14:29:17+0000,height system,metric
2025-10-09 14:29:17+0000,pool length,25
2025-10-09 14:29:17+0000,pool length measurement unit,meter
2025-10-09 14:29:17+0000,water measurement unit,fl oz
2025-10-09 14:29:17+0000,weight system,metric
