timestamp,Infrared to Red Signal Ratio
08/26/25 19:54:42,-7
08/26/25 19:55:42,0
08/26/25 19:58:18,-10
08/26/25 19:59:19,0
08/26/25 20:00:19,78
08/26/25 20:01:17,0
08/26/25 20:02:17,0
08/26/25 20:03:17,2
