timestamp,Infrared to Red Signal Ratio
08/27/25 01:15:00,-10
08/27/25 01:16:00,-6
08/27/25 01:17:00,-22
08/27/25 01:18:00,0
08/27/25 01:19:00,0
08/27/25 01:20:00,0
08/27/25 02:43:30,0
08/27/25 02:44:30,0
08/27/25 02:45:30,0
08/27/25 02:46:30,41
08/27/25 02:47:30,-18
08/27/25 02:48:30,1
08/27/25 02:49:30,0
08/27/25 02:50:30,0
08/27/25 02:51:30,0
08/27/25 02:52:30,0
08/27/25 02:53:30,0
08/27/25 02:54:30,0
08/27/25 02:55:30,0
08/27/25 02:56:30,0
08/27/25 02:57:30,0
08/27/25 02:58:30,0
08/27/25 02:59:30,0
08/27/25 03:00:30,0
08/27/25 03:01:29,0
08/27/25 03:02:29,0
08/27/25 03:03:29,0
08/27/25 03:04:29,0
08/27/25 03:05:29,0
08/27/25 03:06:29,0
08/27/25 03:07:29,0
08/27/25 03:08:29,0
08/27/25 03:09:29,0
08/27/25 03:10:29,0
08/27/25 03:11:29,0
08/27/25 03:12:29,0
08/27/25 03:13:29,0
08/27/25 03:14:29,-65
08/27/25 03:15:29,-5
08/27/25 03:16:29,0
08/27/25 03:17:29,0
08/27/25 03:18:29,4
08/27/25 03:19:29,-5
08/27/25 03:20:29,-2
08/27/25 03:21:29,3
08/27/25 03:22:29,-4
08/27/25 03:23:29,26
08/27/25 03:24:29,-40
08/27/25 03:25:29,-1
08/27/25 03:26:29,0
08/27/25 03:27:29,35
08/27/25 03:28:29,18
08/27/25 03:29:29,40
08/27/25 03:30:29,13
08/27/25 03:31:29,0
08/27/25 03:32:29,11
08/27/25 03:33:29,4
08/27/25 03:34:29,13
08/27/25 03:35:29,33
08/27/25 03:36:29,50
08/27/25 03:37:29,0
08/27/25 03:38:29,0
08/27/25 03:39:29,0
08/27/25 03:40:29,0
08/27/25 03:41:29,-3
08/27/25 03:42:29,0
08/27/25 03:43:29,-18
08/27/25 03:44:29,4
08/27/25 03:45:29,0
08/27/25 03:46:29,0
08/27/25 03:47:29,0
08/27/25 03:48:29,0
08/27/25 03:49:29,0
08/27/25 03:50:29,0
08/27/25 03:51:29,0
08/27/25 03:52:29,0
08/27/25 03:53:29,0
08/27/25 03:54:29,0
08/27/25 03:55:29,0
08/27/25 03:56:29,0
08/27/25 03:57:29,-1
08/27/25 03:58:29,-28
08/27/25 03:59:29,38
08/27/25 04:00:29,-8
08/27/25 04:01:29,10
08/27/25 04:02:30,-43
08/27/25 04:03:30,-1
08/27/25 04:04:30,2
08/27/25 04:05:30,0
08/27/25 04:06:30,0
08/27/25 04:07:30,0
08/27/25 04:08:30,-1
08/27/25 04:09:30,6
08/27/25 04:10:30,-2
08/27/25 04:11:30,-1
08/27/25 04:12:30,0
08/27/25 04:13:30,8
08/27/25 04:14:30,-2
08/27/25 04:15:30,13
08/27/25 04:16:30,0
08/27/25 04:17:30,16
08/27/25 04:18:30,57
08/27/25 04:19:30,26
08/27/25 04:20:30,7
08/27/25 04:21:30,30
08/27/25 04:22:30,14
08/27/25 04:23:30,0
08/27/25 04:24:30,7
08/27/25 04:25:30,-17
08/27/25 04:26:30,17
08/27/25 04:27:30,0
08/27/25 04:28:30,30
08/27/25 04:29:30,0
08/27/25 04:30:30,0
08/27/25 04:31:30,0
08/27/25 04:32:29,0
08/27/25 04:33:29,0
08/27/25 04:34:29,0
08/27/25 04:35:29,19
08/27/25 04:36:29,-27
08/27/25 04:37:29,49
08/27/25 04:38:29,-8
08/27/25 04:39:29,1
08/27/25 04:40:29,1
08/27/25 04:41:29,0
08/27/25 04:42:29,0
