timestamp,Infrared to Red Signal Ratio
08/11/25 00:00:01,-17
08/11/25 00:01:01,-8
08/11/25 00:02:01,-14
08/11/25 00:03:01,-30
08/11/25 00:04:01,-3
08/11/25 00:05:01,0
08/11/25 00:06:01,-22
08/11/25 00:07:01,-52
08/11/25 00:08:00,-39
08/11/25 00:09:00,-18
08/11/25 00:10:00,-38
08/11/25 00:11:00,-12
08/11/25 00:12:00,-52
08/11/25 00:13:00,-26
08/11/25 00:14:00,-53
08/11/25 00:15:00,-46
08/11/25 00:16:00,-56
08/11/25 00:17:00,-36
08/11/25 00:18:00,-75
08/11/25 00:19:00,-59
08/11/25 00:20:00,-73
08/11/25 00:21:00,-42
08/11/25 00:22:00,-49
08/11/25 00:23:00,-82
08/11/25 00:24:02,-47
08/11/25 00:25:02,-42
08/11/25 00:26:02,-60
08/11/25 00:27:02,-36
08/11/25 00:28:02,-93
08/11/25 00:29:02,-69
08/11/25 00:30:02,-75
08/11/25 00:31:02,-41
08/11/25 00:32:02,-62
08/11/25 00:33:02,-47
08/11/25 00:34:02,-98
08/11/25 00:35:02,-85
08/11/25 00:36:02,-86
08/11/25 00:37:02,-58
08/11/25 00:38:02,-18
08/11/25 00:39:02,-67
08/11/25 00:40:02,-7
08/11/25 00:41:02,-5
08/11/25 00:42:02,-21
08/11/25 00:43:02,0
08/11/25 00:44:02,0
08/11/25 00:45:02,-34
08/11/25 00:46:02,-63
08/11/25 00:47:02,-47
08/11/25 00:48:02,-28
08/11/25 00:49:02,-13
08/11/25 00:50:02,-29
08/11/25 00:51:02,-39
08/11/25 00:52:02,-43
08/11/25 00:53:02,-17
08/11/25 00:54:01,-11
08/11/25 00:55:01,-34
08/11/25 00:56:01,-5
08/11/25 00:57:01,-34
08/11/25 00:58:01,-37
08/11/25 00:59:01,-3
08/11/25 01:00:01,-11
08/11/25 01:01:01,-27
08/11/25 01:02:01,-19
08/11/25 01:03:01,-87
08/11/25 01:04:01,-63
08/11/25 01:05:01,-59
08/11/25 01:06:01,-56
08/11/25 01:07:01,17
08/11/25 01:08:01,-8
08/11/25 01:09:01,-61
08/11/25 01:10:01,-21
08/11/25 01:11:01,-22
08/11/25 01:12:01,-3
08/11/25 01:13:01,-11
08/11/25 01:14:01,0
08/11/25 01:15:01,20
08/11/25 01:16:01,-4
08/11/25 01:17:01,-27
08/11/25 01:18:01,5
08/11/25 01:19:01,3
08/11/25 01:20:01,-6
08/11/25 01:21:01,-8
08/11/25 01:22:01,-34
08/11/25 01:23:01,-6
08/11/25 01:24:02,-8
08/11/25 01:25:02,-3
08/11/25 01:26:02,-4
08/11/25 01:27:02,-11
08/11/25 01:28:02,-1
08/11/25 01:29:02,16
08/11/25 01:30:02,-6
08/11/25 01:31:02,-1
08/11/25 01:32:02,0
08/11/25 01:33:02,-2
08/11/25 01:34:02,10
08/11/25 01:35:02,-20
08/11/25 01:36:02,0
08/11/25 01:37:02,-71
08/11/25 01:38:02,48
08/11/25 01:39:01,1
08/11/25 01:40:01,1
08/11/25 01:41:01,13
08/11/25 01:42:01,-47
08/11/25 01:43:01,12
08/11/25 01:44:01,13
08/11/25 01:45:01,-1
08/11/25 01:46:01,-7
08/11/25 01:47:01,1
08/11/25 01:48:01,4
08/11/25 01:49:01,-13
08/11/25 01:50:01,0
08/11/25 01:51:01,-11
08/11/25 01:52:01,0
08/11/25 01:53:01,-54
08/11/25 01:54:01,3
08/11/25 01:55:01,-6
08/11/25 01:56:01,-8
08/11/25 01:57:01,-25
08/11/25 01:58:01,0
08/11/25 01:59:01,-4
08/11/25 02:00:01,-2
08/11/25 02:01:01,-35
08/11/25 02:02:01,-2
08/11/25 02:03:01,-3
08/11/25 02:04:01,-22
08/11/25 02:05:01,-5
08/11/25 02:06:01,-17
08/11/25 02:07:01,-3
08/11/25 02:08:01,-19
08/11/25 02:09:02,-2
08/11/25 02:10:02,-18
08/11/25 02:11:02,-18
08/11/25 02:12:02,4
08/11/25 02:13:02,0
08/11/25 02:14:02,-18
08/11/25 02:15:02,-47
08/11/25 02:16:02,-54
08/11/25 02:17:02,-1
08/11/25 02:18:02,-36
08/11/25 02:19:02,0
08/11/25 02:20:02,37
08/11/25 02:21:02,-4
08/11/25 02:22:02,-12
08/11/25 02:23:02,-3
08/11/25 02:24:02,6
08/11/25 02:25:02,-12
08/11/25 02:26:02,-14
08/11/25 02:27:02,-39
08/11/25 02:28:02,21
08/11/25 02:29:02,25
08/11/25 02:30:02,4
08/11/25 02:31:02,-4
08/11/25 02:32:02,0
08/11/25 02:33:02,-6
08/11/25 02:34:02,-8
08/11/25 02:35:02,0
08/11/25 02:36:02,20
08/11/25 02:37:02,-32
08/11/25 02:38:02,-8
08/11/25 02:39:02,-14
08/11/25 02:40:02,8
08/11/25 02:41:02,-21
08/11/25 02:42:02,3
08/11/25 02:43:02,0
